CODE_COM;APL_EHPA;APL_RA;APL_SAPA
28059;109254.67;628.94;803.84
28060;89850.7;369.7;562.23
28066;96013.43;324.3;555.97
28067;71376.56;123.78;334.42
28078;89923.85;386.16;327.77
28079;92765.93;0.0;241.56
28080;93612.96;417.97;428.46
28083;99696.28;619.7;2461.5
28087;102354.63;418.79;341.69
28088;124548.35;324.3;2495.41
28089;102236.97;511.67;654.74
28090;88778.31;197.57;680.97
28099;83267.74;472.02;697.31
28102;86648.79;511.67;559.77
28103;128646.51;767.7;2461.5
28104;85553.07;369.7;556.34
28109;78557.45;172.46;280.5
28110;112345.06;369.7;536.05
28111;109263.74;727.43;428.46
28114;64065.83;324.3;2582.65
28120;105198.79;418.79;711.72
28123;99902.76;324.3;241.56
28135;47973.31;185.04;247.43
28136;85394.02;141.97;230.12
28137;57144.09;503.99;613.43
28139;66790.35;369.7;748.15
28145;63671.87;104.76;2629.02
28146;60327.97;266.66;143.58
28148;71067.02;0.0;306.16
28149;84869.34;197.57;669.49
28150;100402.9;619.7;2461.5
28151;107278.23;628.94;803.84
28153;97231.43;324.3;2495.41
28155;96474.44;418.79;283.02
28156;100909.33;172.46;599.92
28159;96956.45;197.57;505.84
28160;62402.3;369.7;481.69
28161;93400.8;324.3;504.62
28163;88098.41;511.67;563.18
28164;52041.2;104.76;417.33
28166;74870.58;296.24;334.42
28170;103442.65;418.79;374.16
28172;57387.72;430.95;573.74
28175;76105.28;242.64;241.56
28180;58504.71;603.9;747.62
28182;104129.42;324.3;2736.97
28190;67986.55;324.3;2624.96
28191;52712.16;185.04;210.84
28194;80404.4;369.7;503.13
28199;77800.72;266.82;676.86
28201;91025.78;369.7;591.13
28204;105406.95;565.81;2461.5
28206;107398.62;418.79;536.6
28207;35426.95;141.9;278.02
28213;70602.6;511.67;552.65
28218;116782.72;369.7;527.74
28219;109861.33;481.93;327.77
28223;90812.74;220.92;241.77
28226;99569.27;418.79;477.92
28230;44694.97;167.95;386.81
28232;84824.67;0.0;338.91
28234;75927.22;123.78;334.42
28256;80391.25;324.3;2495.41
28260;95737.08;324.3;2495.41
28261;85411.47;0.0;522.06
28267;94258.09;221.22;312.26
28268;34917.38;37.14;278.02
28270;74234.34;369.13;2506.22
28276;54787.79;104.76;357.3
28279;66396.16;265.76;184.17
28281;81490.13;369.7;790.79
28282;69584.46;0.0;280.5
28283;69576.07;324.3;2568.98
28297;66408.9;369.7;485.09
28305;68500.43;324.3;2495.41
28306;59141.82;324.3;2495.41
28308;94481.41;418.79;668.62
28318;98825.55;767.7;2461.5
28323;94967.08;418.79;495.16
28327;96778.65;727.43;989.16
28330;93309.8;324.3;2585.29
28331;77140.76;172.46;504.62
28333;64838.51;0.0;323.61
28334;118798.16;324.3;2495.41
28335;85136.68;172.46;416.53
28337;70295.62;369.7;768.61
28339;72858.82;369.7;697.31
28341;101116.28;220.92;436.49
28342;99469.36;727.43;902.95
28344;46145.21;369.7;569.94
28348;100397.97;418.79;298.59
28352;54605.68;203.63;202.53
28355;67198.76;384.62;620.16
28357;70326.81;369.7;538.9
28361;57879.67;591.88;726.16
28364;65233.11;0.0;2568.98
28365;62484.93;369.7;748.15
28368;90924.7;197.57;433.87
28373;100671.53;197.57;548.95
28379;76609.73;369.7;538.9
28382;58591.01;81.4;2624.96
28383;61818.97;369.7;541.23
28385;67858.17;181.26;323.61
28386;91999.27;511.67;501.27
28388;112939.95;369.7;561.64
28391;78225.14;394.62;831.73
28397;77695.92;494.39;647.68
28403;96421.83;369.7;561.64
28405;105999.95;418.79;365.72
28408;33979.61;272.71;258.93
28409;93793.52;369.13;291.31
28414;63480.04;78.95;323.61
