CODGEO;LIBGEO;MED15;TP6015
01246;Mézériat;20881;12
01247;Mijoux;27823;
01248;Mionnay;25612;
01249;Miribel;23469;9
01250;Misérieux;24620;
01252;Mogneneins;22274;
01254;Montagnat;25441;
01255;Montagnieu;20575;
01257;Montanges;24427;
01258;Montceaux;23548;
01259;Montcet;22508;
01260;Le Montellier;23584;
01261;Monthieux;24410;
01262;Montluel;20602;13
01263;Montmerle-sur-Saône;22735;6
01264;Montracol;21059;
01265;Montréal-la-Cluse;18554;17
01266;Montrevel-en-Bresse;20483;10
01267;Nurieux-Volognat;21453;
01268;Murs-et-Gélignieux;21040;
01269;Nantua;16568;29
01271;Nattages;;
01272;Neuville-les-Dames;20578;
01273;Neuville-sur-Ain;20509;
01274;Les Neyrolles;18037;
01275;Neyron;27402;
01276;Niévroz;23667;
01277;Nivollet-Montgriffon;21970;
01279;Oncieu;;
01280;Ordonnaz;19744;
01281;Ornex;33595;15
01282;Outriaz;22148;
01283;Oyonnax;16675;25
01284;Ozan;19571;
01285;Parcieux;26151;
01286;Parves et Nattages;23651;
01288;Péron;35576;
01289;Péronnas;22210;7
01290;Pérouges;25275;
01291;Perrex;21748;
01292;Le Petit-Abergement;;
01293;Peyriat;25360;
01294;Peyrieu;21045;
01295;Peyzieux-sur-Saône;21909;
01296;Pirajoux;20697;
01297;Pizay;24405;
01298;Plagne;26252;
01299;Le Plantay;21418;
01300;Le Poizat;;
01301;Polliat;23017;
01302;Pollieu;26027;
01303;Poncin;19759;
01304;Pont-d'Ain;20879;11
01305;Pont-de-Vaux;18714;13
01306;Pont-de-Veyle;18706;
01307;Port;20469;
01308;Pougny;35657;
01309;Pouillat;;
01310;Prémeyzel;20676;
01311;Prémillieu;;
01312;Pressiat;;
01313;Prévessin-Moëns;38874;13
01314;Priay;21926;
01316;Pugieu;20347;
01317;Ramasse;21846;
01318;Rancé;24825;
01319;Relevant;22740;
01320;Replonges;22291;7
01321;Revonnas;24308;
01322;Reyrieux;26222;
01323;Reyssouze;20232;
01325;Rignieux-le-Franc;23443;
01328;Romans;22555;
01329;Rossillon;18781;
01330;Ruffieu;21345;
01331;Saint-Alban;20863;
01332;Saint-André-de-Bâgé;21490;
01333;Saint-André-de-Corcy;23808;
01334;Saint-André-d'Huiriat;22541;
01335;Saint-André-le-Bouchoux;21265;
01336;Saint-André-sur-Vieux-Jonc;21531;
01337;Saint-Bénigne;21205;
01338;Groslée-Saint-Benoit;21097;
01339;Saint-Bernard;27855;
01340;Saint-Bois;;
01341;Saint-Champ;23223;
01342;Sainte-Croix;24644;
01343;Saint-Cyr-sur-Menthon;21181;
01344;Saint-Denis-lès-Bourg;23389;7
01345;Saint-Denis-en-Bugey;20901;10
01346;Saint-Didier-d'Aussiat;20772;
01347;Saint-Didier-de-Formans;25566;
