CODGEO;LIBGEO;MED15;TP6015
2A019;Arbori;;
2A021;Argiusta-Moriccio;;
2A022;Arro;;
2A024;Aullène;16822;
2A026;Azilone-Ampaza;15052;
2A027;Azzana;;
2A028;Balogna;17734;
2A031;Bastelica;19420;
2A032;Bastelicaccia;23279;10
2A035;Belvédère-Campomoro;20759;
2A038;Bilia;;
2A040;Bocognano;21293;
2A041;Bonifacio;18063;20
2A048;Calcatoggio;21934;
2A056;Campo;18861;
2A060;Cannelle;;
2A061;Carbini;;
2A062;Carbuccia;20024;
2A064;Cardo-Torgia;;
2A065;Cargèse;18597;
2A066;Cargiaca;;
2A070;Casaglione;19933;
2A071;Casalabriva;16581;
2A085;Cauro;22660;
2A089;Ciamannacce;;
2A090;Coggia;21856;
2A091;Cognocoli-Monticchi;18419;
2A092;Conca;16830;
2A094;Corrano;;
2A098;Coti-Chiavari;20881;
2A099;Cozzano;15253;
2A100;Cristinacce;;
2A103;Cuttoli-Corticchiato;20969;
2A104;Eccica-Suarella;23005;
2A108;Évisa;16789;
2A114;Figari;17019;
2A115;Foce;22660;
2A117;Forciolo;;
2A118;Fozzano;16155;
2A119;Frasseto;;
2A127;Giuncheto;;
2A128;Granace;;
2A129;Grossa;;
2A130;Grosseto-Prugna;24044;10
2A131;Guagno;18426;
2A132;Guargualé;;
2A133;Guitera-les-Bains;19232;
2A139;Lecci;19727;
2A141;Letia;23332;
2A142;Levie;17109;
2A144;Lopigna;;
2A146;Loreto-di-Tallano;;
2A154;Marignana;;
2A158;Mela;;
2A160;Moca-Croce;18771;
2A163;Monacia-d'Aullène;19363;
2A174;Murzo;;
2A181;Ocana;19408;
2A186;Olivese;17659;
2A189;Olmeto;20194;
2A191;Olmiccia;;
2A196;Orto;;
2A197;Osani;;
2A198;Ota;19590;
2A200;Palneca;16489;
2A203;Partinello;;
2A204;Pastricciola;;
2A209;Peri;21780;
2A211;Petreto-Bicchisano;19307;
2A212;Piana;18708;
2A215;Pianottoli-Caldarello;19265;
2A228;Pietrosella;25528;
2A232;Pila-Canale;20104;
2A240;Poggiolo;;
2A247;Porto-Vecchio;17641;24
2A249;Propriano;17050;25
2A253;Quasquara;;
2A254;Quenza;16575;
2A258;Renno;;
2A259;Rezza;;
2A262;Rosazia;;
2A266;Salice;;
2A268;Sampolo;;
2A269;Sari-Solenzara;17610;
2A270;Sari-d'Orcino;21002;
2A271;Sarrola-Carcopino;20398;14
2A272;Sartène;18035;26
2A276;Serra-di-Ferro;19871;
2A278;Serra-di-Scopamène;;
2A279;Serriera;;
2A282;Soccia;19748;
2A284;Sollacaro;19614;
2A285;Sorbollano;;
2A288;Sotta;19814;
2A295;Sant'Andréa-d'Orcino;21226;
2A300;San-Gavino-di-Carbini;19720;
2A308;Sainte-Lucie-de-Tallano;18494;
2A310;Santa-Maria-Figaniella;;
2A312;Santa-Maria-Siché;18930;
2A322;Tasso;;
2A323;Tavaco;20118;
2A324;Tavera;18405;
2A326;Tolla;21568;
2A330;Ucciani;19815;
2A331;Urbalacone;;
2A336;Valle-di-Mezzana;20796;
2A345;Vero;18921;
2A348;Vico;19767;
2A349;Viggianello;21484;
2A351;Villanova;27969;
2A357;Zérubia;;
2A358;Zévaco;;
2A359;Zicavo;15853;
2A360;Zigliara;22023;
2A362;Zonza;18531;22
2A363;Zoza;;
2B002;Aghione;14085;
2B003;Aiti;;
2B005;Alando;;
2B007;Albertacce;15349;
2B009;Aléria;16329;
2B010;Algajola;20905;
2B012;Altiani;;
2B013;Alzi;;
2B015;Ampriani;;
2B016;Antisanti;18256;
2B020;Aregno;17544;
2B023;Asco;;
2B025;Avapessa;;
2B029;Barbaggio;19126;
2B030;Barrettali;15393;
2B033;Bastia;17831;23
2B034;Belgodère;17392;
2B036;Bigorno;;
2B037;Biguglia;20761;15
2B039;Bisinchi;17669;
2B042;Borgo;19500;18
2B043;Brando;22097;
2B045;Bustanico;;
2B046;Cagnano;17416;
2B047;Calacuccia;14036;
2B049;Calenzana;18330;21
2B050;Calvi;17119;22
2B051;Cambia;;
2B052;Campana;;
2B053;Campi;;
2B054;Campile;17451;
2B055;Campitello;;
2B057;Canale-di-Verde;19494;
2B058;Canari;15363;
2B059;Canavaggia;;
2B063;Carcheto-Brustico;;
2B067;Carpineto;;
2B068;Carticasi;;
2B069;Casabianca;;
2B072;Casalta;;
2B073;Casamaccioli;18986;
2B074;Casanova;19709;
2B075;Casevecchie;;
2B077;Castellare-di-Casinca;17532;
2B078;Castellare-di-Mercurio;;
2B079;Castello-di-Rostino;19785;
2B080;Castifao;20232;
2B081;Castiglione;;
2B082;Castineta;;
2B083;Castirla;17933;
2B084;Cateri;16407;
2B086;Centuri;16991;
2B087;Cervione;18007;
2B088;Chiatra;18894;
2B093;Corbara;20777;
2B095;Corscia;17589;
2B096;Corte;18759;21
2B097;Costa;;
2B101;Croce;;
2B102;Crocicchia;;
2B105;Erbajolo;;
2B106;Érone;;
2B107;Ersa;16145;
2B109;Farinole;20961;
2B110;Favalello;;
2B111;Felce;;
2B112;Feliceto;16197;
2B113;Ficaja;;
2B116;Focicchia;;
2B120;Furiani;21651;14
2B121;Galéria;18987;
2B122;Gavignano;;
2B123;Ghisonaccia;16747;28
2B124;Ghisoni;19078;
2B125;Giocatojo;;
2B126;Giuncaggio;;
2B134;L'Île-Rousse;16853;26
2B135;Isolaccio-di-Fiumorbo;16538;
2B136;Lama;17943;
2B137;Lano;;
2B138;Lavatoggio;14589;
2B140;Lento;;
2B143;Linguizzetta;14930;
2B145;Loreto-di-Casinca;16250;
2B147;Lozzi;17335;
2B148;Lucciana;18255;22
2B149;Lugo-di-Nazza;;
2B150;Lumio;20288;
2B152;Luri;17620;
2B153;Manso;;
2B155;Matra;;
2B156;Mausoléo;;
2B157;Mazzola;;
2B159;Meria;;
2B161;Moïta;;
2B162;Moltifao;18175;
2B164;Monacia-d'Orezza;;
2B165;Moncale;18240;
2B166;Monte;17671;
2B167;Montegrosso;18318;
2B168;Monticello;21123;
2B169;Morosaglia;17652;
2B170;Morsiglia;17063;
2B171;Muracciole;;
2B172;Murato;18786;
2B173;Muro;15434;
2B175;Nessa;;
2B176;Nocario;;
2B177;Noceta;;
2B178;Nonza;;
2B179;Novale;;
2B180;Novella;;
2B182;Occhiatana;17103;
2B183;Ogliastro;;
2B184;Olcani;;
2B185;Oletta;18263;
2B187;Olmeta-di-Capocorso;19842;
2B188;Olmeta-di-Tuda;18870;
2B190;Olmi-Cappella;16486;
2B192;Olmo;14326;
2B193;Omessa;17382;
2B194;Ortale;;
2B195;Ortiporio;16296;
2B199;Palasca;15828;
2B201;Pancheraccia;14855;
2B202;Parata;;
2B205;Patrimonio;18659;
2B206;Penta-Acquatella;;
2B207;Penta-di-Casinca;17476;25
2B208;Perelli;;
2B210;Pero-Casevecchie;15329;
2B213;Pianello;;
2B214;Piano;;
2B216;Piazzali;;
2B217;Piazzole;;
2B218;Piedicorte-di-Gaggio;;
2B219;Piedicroce;;
2B220;Piedigriggio;19147;
2B221;Piedipartino;;
2B222;Pie-d'Orezza;;
2B223;Pietralba;19735;
2B224;Pietracorbara;19510;
2B225;Pietra-di-Verde;15584;
2B226;Pietraserena;;
2B227;Pietricaggio;;
2B229;Pietroso;17611;
2B230;Piève;;
2B231;Pigna;;
2B233;Pino;16896;
2B234;Piobetta;;
2B235;Pioggiola;;
2B236;Poggio-di-Nazza;19670;
2B238;Poggio-di-Venaco;22250;
2B239;Poggio-d'Oletta;21911;
2B241;Poggio-Marinaccio;;
2B242;Poggio-Mezzana;17583;
2B243;Polveroso;;
2B244;Popolasca;;
2B245;Porri;;
2B246;La Porta;16931;
2B248;Prato-di-Giovellina;;
2B250;Prunelli-di-Casacconi;19184;
2B251;Prunelli-di-Fiumorbo;17261;26
2B252;Pruno;16220;
2B255;Quercitello;;
2B256;Rapaggio;;
2B257;Rapale;21118;
2B260;Riventosa;17916;
2B261;Rogliano;15877;
2B263;Rospigliani;;
2B264;Rusio;;
2B265;Rutali;18274;
2B267;Saliceto;;
2B273;Scata;;
2B274;Scolca;;
2B275;Sermano;;
2B277;Serra-di-Fiumorbo;17840;
2B280;Silvareccio;17047;
2B281;Sisco;18589;
2B283;Solaro;20530;
2B286;Sorbo-Ocagnano;17603;
2B287;Sorio;;
2B289;Soveria;21737;
2B290;Speloncato;15597;
2B291;Stazzona;;
2B292;Sant'Andréa-di-Bozio;;
2B293;Sant'Andréa-di-Cotone;19514;
2B296;Sant'Antonino;15369;
2B297;San-Damiano;;
2B298;Saint-Florent;19107;
2B299;San-Gavino-d'Ampugnani;;
2B301;San-Gavino-di-Tenda;;
2B302;San-Giovanni-di-Moriani;;
2B303;San-Giuliano;18034;
2B304;San-Lorenzo;;
2B305;San-Martino-di-Lota;21811;13
2B306;Santa-Lucia-di-Mercurio;;
2B307;Santa-Lucia-di-Moriani;16783;
2B309;Santa-Maria-di-Lota;22632;
2B311;Santa-Maria-Poggio;17905;
2B313;San-Nicolao;16040;
2B314;Santo-Pietro-di-Tenda;16654;
2B315;Santo-Pietro-di-Venaco;18050;
2B316;Santa-Reparata-di-Balagna;17930;
2B317;Santa-Reparata-di-Moriani;;
2B318;Taglio-Isolaccio;19632;
2B319;Talasani;17703;
2B320;Tallone;17608;
2B321;Tarrano;;
2B327;Tomino;18859;
2B328;Tox;21283;
2B329;Tralonca;19437;
2B332;Urtaca;20222;
2B333;Vallecalle;18633;
2B334;Valle-d'Alesani;;
2B335;Valle-di-Campoloro;19980;
2B337;Valle-di-Rostino;17211;
2B338;Valle-d'Orezza;;
2B339;Vallica;;
2B340;Velone-Orneto;15770;
2B341;Venaco;21134;
2B342;Ventiseri;19859;14
2B343;Venzolasca;16881;
2B344;Verdèse;;
2B346;Vescovato;16548;28
2B347;Vezzani;18530;
2B350;Vignale;19341;
2B352;Ville-di-Paraso;18988;
2B353;Ville-di-Pietrabugno;24830;9
2B354;Vivario;19859;
2B355;Volpajola;17887;
2B356;Zalana;17910;
2B361;Zilia;16085;
2B364;Zuani;;
2B365;San-Gavino-di-Fiumorbo;18556;
2B366;Chisa;;
30001;Aigaliers;21885;
30002;Aigremont;18677;
30003;Aigues-Mortes;19663;16
30004;Aigues-Vives;21722;10
30005;Aiguèze;19857;
30006;Aimargues;19270;15
30007;Alès;16197;29
30008;Allègre-les-Fumades;18318;
30009;Alzon;16401;
30010;Anduze;17071;27
30011;Les Angles;23483;9
30012;Aramon;20366;15
30013;Argilliers;21196;
30014;Arpaillargues-et-Aureillac;20585;
30015;Arphy;18258;
30016;Arre;16645;
30017;Arrigas;18435;
30018;Aspères;20630;
30019;Aubais;22940;13
30020;Aubord;21528;10
30021;Aubussargues;19626;
30022;Aujac;14897;
30023;Aujargues;20265;
30024;Aulas;18291;
30025;Aumessas;15443;
30026;Avèze;18217;
30027;Bagard;20182;15
30028;Bagnols-sur-Cèze;17603;25
30029;Barjac;18050;
30030;Baron;19233;
30031;La Bastide-d'Engras;19457;
30032;Beaucaire;16324;29
30033;Beauvoisin;20004;13
30034;Bellegarde;19299;17
30035;Belvézet;17229;
30036;Bernis;20686;10
30037;Bessèges;15146;33
30038;Bez-et-Esparon;18183;
30039;Bezouce;20008;13
30040;Blandas;17431;
30041;Blauzac;22384;
30042;Boisset-et-Gaujac;18923;17
30043;Boissières;24489;
30044;Bonnevaux;;
30045;Bordezac;17468;
30046;Boucoiran-et-Nozières;17959;
30047;Bouillargues;21326;11
30048;Bouquet;20002;
30049;Bourdic;20757;
30050;Bragassargues;20295;
30051;Branoux-les-Taillades;17405;
30052;Bréau-et-Salagosse;18094;
30053;Brignon;17701;
30054;Brouzet-lès-Quissac;20972;
30055;Brouzet-lès-Alès;20072;
30056;La Bruguière;18736;
30057;Cabrières;21847;
30058;La Cadière-et-Cambo;18681;
30059;Le Cailar;20926;10
30060;Caissargues;22330;9
30061;La Calmette;19607;15
30062;Calvisson;21534;12
30064;Campestre-et-Luc;16803;
30065;Canaules-et-Argentières;18393;
30066;Cannes-et-Clairan;19038;
30067;La Capelle-et-Masmolène;18984;
30068;Cardet;18542;
30069;Carnas;20006;
30070;Carsan;21709;
30071;Cassagnoles;20444;
30072;Castelnau-Valence;19175;
30073;Castillon-du-Gard;21966;
30074;Causse-Bégon;;
30075;Caveirac;22997;9
30076;Cavillargues;20721;
30077;Cendras;16411;
30079;Chambon;19635;
30080;Chamborigaud;17983;
30081;Chusclan;23184;
30082;Clarensac;21877;10
30083;Codognan;21043;10
30084;Codolet;20302;
30085;Collias;19762;
30086;Collorgues;19305;
30087;Colognac;16286;
30088;Combas;20609;
30089;Comps;20188;
30090;Concoules;18688;
30091;Congénies;22481;
30092;Connaux;21673;
30093;Conqueyrac;;
30094;Corbès;14623;
30095;Corconne;19839;
30096;Cornillon;21067;
30097;Courry;19689;
30098;Crespian;19926;
30099;Cros;17798;
30100;Cruviers-Lascours;20368;
30101;Deaux;20219;
30102;Dions;20171;
30103;Domazan;21880;
30104;Domessargues;19137;
30105;Dourbies;17926;
30106;Durfort-et-Saint-Martin-de-Sossenac;18633;
30107;Estézargues;23952;
30108;L'Estréchure;17263;
30109;Euzet;20271;
30110;Flaux;20297;
30111;Foissac;18014;
30112;Fons;20613;
30113;Fons-sur-Lussan;20032;
30114;Fontanès;19389;
30115;Fontarèches;18401;
30116;Fournès;18816;
30117;Fourques;20984;12
30119;Fressac;18744;
30120;Gagnières;16586;
30121;Gailhan;19120;
30122;Gajan;19876;
30123;Gallargues-le-Montueux;20835;13
30124;Le Garn;17541;
30125;Garons;19485;16
30126;Garrigues-Sainte-Eulalie;21554;
30127;Gaujac;21502;
30128;Générac;20581;12
30129;Générargues;19163;
30130;Génolhac;19055;
30131;Goudargues;18596;
30132;La Grand-Combe;14103;39
30133;Le Grau-du-Roi;19431;17
30134;Issirac;17279;
30135;Jonquières-Saint-Vincent;18770;19
30136;Junas;20352;
30137;Lamelouze;17725;
30138;Langlade;24872;
30139;Lanuéjols;17600;
30140;Lasalle;15883;
30141;Laudun-l'Ardoise;20442;13
30142;Laval-Pradel;18570;
30143;Laval-Saint-Roman;19782;
30144;Lecques;18774;
30145;Lédenon;19904;
30146;Lédignan;17667;
30147;Lézan;17243;
30148;Liouc;20897;
30149;Lirac;20906;
30150;Logrian-Florian;17803;
30151;Lussan;18648;
30152;Les Mages;18556;15
30153;Malons-et-Elze;;
30154;Mandagout;16078;
30155;Manduel;20188;12
30156;Marguerittes;20070;13
30157;Mars;18153;
30158;Martignargues;20404;
30159;Le Martinet;16958;
30160;Maruéjols-lès-Gardon;16688;
30161;Massanes;17080;
30162;Massillargues-Attuech;18347;
30163;Mauressargues;22711;
30164;Méjannes-le-Clap;18323;
30165;Méjannes-lès-Alès;20167;
30166;Meynes;19842;16
30167;Meyrannes;17391;
30168;Mialet;19066;
30169;Milhaud;19438;16
30170;Molières-Cavaillac;18331;
30171;Molières-sur-Cèze;14866;
30172;Monoblet;16417;
30173;Mons;20935;
30174;Montaren-et-Saint-Médiers;19534;
30175;Montclus;15889;
30176;Montdardier;16817;
30177;Monteils;19975;
30178;Montfaucon;20340;
30179;Montfrin;18683;20
30180;Montignargues;20287;
30181;Montmirat;19839;
30182;Montpezat;19573;
30183;Moulézan;18187;
30184;Moussac;19280;
30185;Mus;21820;
30186;Nages-et-Solorgues;25304;
30187;Navacelles;18732;
30188;Ners;20035;
30189;Nîmes;16881;29
30190;Notre-Dame-de-la-Rouvière;16415;
30191;Orsan;21885;
30192;Orthoux-Sérignac-Quilhan;20558;
30193;Parignargues;21015;
30194;Peyremale;19079;
30195;Peyrolles;;
30196;Le Pin;21038;
30197;Les Plans;20051;
30198;Les Plantiers;14656;
30199;Pommiers;;
30200;Pompignan;18555;
30201;Ponteils-et-Brésis;19381;
30202;Pont-Saint-Esprit;17820;23
30203;Portes;16408;
30204;Potelières;17721;
30205;Pougnadoresse;19167;
30206;Poulx;24063;8
30207;Pouzilhac;19048;
30208;Puechredon;;
30209;Pujaut;23728;9
30210;Quissac;18510;19
30211;Redessan;19151;17
30212;Remoulins;17873;22
30213;Revens;;
30214;Ribaute-les-Tavernes;18082;21
30215;Rivières;18968;
30216;Robiac-Rochessadoule;16118;
30217;Rochefort-du-Gard;22090;11
30218;Rochegude;18970;
30219;Rogues;;
30220;Roquedur;17517;
30221;Roquemaure;18641;20
30222;La Roque-sur-Cèze;21936;
30223;Rousson;19824;12
30224;La Rouvière;20145;
30225;Sabran;22073;
30226;Saint-Alexandre;22740;
30227;Saint-Ambroix;17135;26
30228;Sainte-Anastasie;20437;
30229;Saint-André-de-Majencoules;16925;
30230;Saint-André-de-Roquepertuis;20598;
30231;Saint-André-de-Valborgne;16481;
30232;Saint-André-d'Olérargues;21009;
30233;Saint-Bauzély;19608;
30234;Saint-Bénézet;19597;
30235;Saint-Bonnet-du-Gard;19626;
30236;Saint-Bonnet-de-Salendrinque;;
30237;Saint-Brès;16978;
30238;Saint-Bresson;;
30239;Sainte-Cécile-d'Andorge;18599;
30240;Saint-Césaire-de-Gauzignan;18833;
30241;Saint-Chaptes;19044;
30242;Saint-Christol-de-Rodières;20013;
30243;Saint-Christol-lès-Alès;18363;19
30244;Saint-Clément;20628;
30245;Saint-Côme-et-Maruéjols;21644;
30246;Sainte-Croix-de-Caderle;;
30247;Saint-Denis;16652;
30248;Saint-Dézéry;19996;
30249;Saint-Dionisy;22948;
30250;Saint-Étienne-de-l'Olm;19897;
30251;Saint-Étienne-des-Sorts;20099;
30252;Saint-Félix-de-Pallières;18018;
30253;Saint-Florent-sur-Auzonnet;15935;
30254;Saint-Geniès-de-Comolas;19649;
30255;Saint-Geniès-de-Malgoirès;17686;22
30256;Saint-Gervais;21045;
30257;Saint-Gervasy;19367;
30258;Saint-Gilles;16243;29
30259;Saint-Hilaire-de-Brethmas;20296;15
30260;Saint-Hilaire-d'Ozilhan;21881;
30261;Saint-Hippolyte-de-Caton;17355;
30262;Saint-Hippolyte-de-Montaigu;18036;
30263;Saint-Hippolyte-du-Fort;17306;23
30264;Saint-Jean-de-Ceyrargues;19012;
30265;Saint-Jean-de-Crieulon;20120;
30266;Saint-Jean-de-Maruéjols-et-Avéjan;17433;
30267;Saint-Jean-de-Serres;17498;
30268;Saint-Jean-de-Valériscle;15979;
30269;Saint-Jean-du-Gard;16452;26
30270;Saint-Jean-du-Pin;19915;
30271;Saint-Julien-de-Cassagnas;19408;
30272;Saint-Julien-de-la-Nef;17743;
30273;Saint-Julien-de-Peyrolas;20119;
30274;Saint-Julien-les-Rosiers;19731;13
30275;Saint-Just-et-Vacquières;20606;
30276;Saint-Laurent-d'Aigouze;20100;15
30277;Saint-Laurent-de-Carnols;20758;
30278;Saint-Laurent-des-Arbres;21405;12
30279;Saint-Laurent-la-Vernède;20277;
30280;Saint-Laurent-le-Minier;14963;
30281;Saint-Mamert-du-Gard;20505;
30282;Saint-Marcel-de-Careiret;21847;
30283;Saint-Martial;16941;
30284;Saint-Martin-de-Valgalgues;17632;23
30285;Saint-Maurice-de-Cazevieille;18632;
30286;Saint-Maximin;20947;
30287;Saint-Michel-d'Euzet;21220;
30288;Saint-Nazaire;17616;
30289;Saint-Nazaire-des-Gardies;;
30290;Saint-Paulet-de-Caisson;21451;
30291;Saint-Paul-la-Coste;18159;
30292;Saint-Pons-la-Calm;21870;
30293;Saint-Privat-de-Champclos;19497;
30294;Saint-Privat-des-Vieux;20778;11
30295;Saint-Quentin-la-Poterie;19806;16
30296;Saint-Roman-de-Codières;14876;
30297;Saint-Sauveur-Camprieu;17431;
30298;Saint-Sébastien-d'Aigrefeuille;20075;
30299;Saint-Siffret;22624;
30300;Saint-Théodorit;19087;
30301;Saint-Victor-des-Oules;20632;
30302;Saint-Victor-la-Coste;21645;
30303;Saint-Victor-de-Malcap;17931;
30304;Salazac;18756;
30305;Salindres;18369;18
30306;Salinelles;20274;
30307;Les Salles-du-Gardon;15478;30
30308;Sanilhac-Sagriès;20121;
30309;Sardan;21113;
30310;Saumane;16727;
30311;Sauve;17446;
30312;Sauveterre;22226;
30313;Sauzet;21059;
30314;Savignargues;19353;
30315;Saze;21894;10
30316;Sénéchas;17379;
30317;Sernhac;19037;
30318;Servas;20421;
30319;Serviers-et-Labaume;20207;
30320;Seynes;19868;
30321;Sommières;16914;27
30322;Soudorgues;14880;
30323;Soustelle;18130;
30324;Souvignargues;20805;
30325;Sumène;17285;
30326;Tavel;20918;
30327;Tharaux;;
30328;Théziers;20015;
30329;Thoiras;16848;
30330;Tornac;18447;
30331;Tresques;22980;
30332;Trèves;;
30333;Uchaud;19116;14
30334;Uzès;18089;24
30335;Vabres;17911;
30336;Vallabrègues;19796;
30337;Vallabrix;20241;
30338;Vallérargues;17871;
30339;Valleraugue;16791;
30340;Valliguières;20368;
30341;Vauvert;17821;22
30342;Vénéjan;23467;
30343;Verfeuil;20898;
30344;Vergèze;20926;10
30345;La Vernarède;17778;
30346;Vers-Pont-du-Gard;20690;
30347;Vestric-et-Candiac;20116;
30348;Vézénobres;20787;
30349;Vic-le-Fesq;19062;
30350;Le Vigan;16136;29
30351;Villeneuve-lès-Avignon;25263;10
30352;Villevieille;21937;
30353;Vissec;;
30354;Montagnac;22765;
30355;Saint-Paul-les-Fonts;20863;
30356;Rodilhan;21077;11
31001;Agassac;;
31002;Aignes;23497;
31003;Aigrefeuille;27955;
31004;Ayguesvives;25277;
31005;Alan;20632;
31006;Albiac;21047;
31007;Ambax;;
31008;Anan;18322;
31009;Antichan-de-Frontignes;;
31010;Antignac;20124;
31011;Arbas;18153;
31012;Arbon;;
31013;Ardiège;21681;
31014;Arguenos;;
31015;Argut-Dessous;;
31017;Arlos;;
31018;Arnaud-Guilhem;20864;
31019;Artigue;;
31020;Aspet;18494;
31021;Aspret-Sarrat;20878;
31022;Aucamville;21013;11
31023;Aulon;18503;
31024;Auragne;20874;
31025;Aureville;31503;
31026;Auriac-sur-Vendinelle;21276;
31027;Auribail;21046;
31028;Aurignac;19205;
31029;Aurin;24923;
31030;Ausseing;;
31031;Ausson;20632;
31032;Aussonne;24310;7
31033;Auterive;19518;14
31034;Auzas;19376;
31035;Auzeville-Tolosane;27424;8
31036;Auzielle;27157;
31037;Avignonet-Lauragais;21460;
31038;Azas;24382;
31039;Bachas;;
31040;Bachos;;
31041;Bagiry;19349;
31042;Bagnères-de-Luchon;19089;16
31043;Balesta;19326;
31044;Balma;26584;8
31045;Barbazan;20217;
31046;Baren;;
31047;Bax;;
31048;Baziège;22214;7
31049;Bazus;25923;
31050;Beauchalot;18253;
31051;Beaufort;21065;
31052;Beaumont-sur-Lèze;22417;
31053;Beaupuy;26876;
31054;Beauteville;22779;
31055;Beauville;23173;
31056;Beauzelle;24195;9
31057;Belberaud;25881;
31058;Belbèze-de-Lauragais;27119;
31059;Belbèze-en-Comminges;;
31060;Bélesta-en-Lauragais;21353;
31061;Bellegarde-Sainte-Marie;25447;
31062;Bellesserre;17565;
31063;Benque;19609;
31064;Benque-Dessous-et-Dessus;;
31065;Bérat;21116;9
31066;Bessières;20573;11
31067;Bezins-Garraux;;
31068;Billière;;
31069;Blagnac;23403;11
31070;Blajan;18654;
31071;Bois-de-la-Pierre;20739;
31072;Boissède;;
31073;Bondigoux;21601;
31074;Bonrepos-Riquet;26510;
31075;Bonrepos-sur-Aussonnelle;24260;
31076;Bordes-de-Rivière;20915;
31077;Le Born;20393;
31078;Boudrac;17044;
31079;Bouloc;23435;8
31080;Boulogne-sur-Gesse;18015;
31081;Bourg-d'Oueil;;
31082;Bourg-Saint-Bernard;22185;
31083;Boussan;20965;
31084;Boussens;19391;
31085;Boutx;17694;
31086;Bouzin;;
31087;Bragayrac;19648;
31088;Brax;27791;
31089;Bretx;26409;
31090;Brignemont;19091;
31091;Bruguières;23370;7
31092;Burgalays;21088;
31093;Le Burgaud;20546;
31094;Buzet-sur-Tarn;22351;9
31095;Cabanac-Cazaux;21350;
31096;Cabanac-Séguenville;18620;
31097;Le Cabanial;18562;
31098;Cadours;19944;
31099;Caignac;23682;
31100;Calmont;20057;12
31101;Cambernard;22677;
31102;Cambiac;23569;
31103;Canens;;
31104;Capens;21144;
31105;Caragoudes;24487;
31106;Caraman;21179;11
31107;Carbonne;19872;14
31108;Cardeilhac;19065;
31109;Cassagnabère-Tournas;16446;
31110;Cassagne;21627;
31111;Castagnac;19101;
31112;Castagnède;20886;
31113;Castanet-Tolosan;23484;10
31114;Castelbiague;19203;
31115;Castelgaillard;;
31116;Castelginest;21977;9
31117;Castelmaurou;24895;6
31118;Castelnau-d'Estrétefonds;22362;7
31119;Castelnau-Picampeau;20414;
31120;Le Castéra;24544;
31121;Castéra-Vignoles;;
31122;Casties-Labrande;18478;
31123;Castillon-de-Larboust;;
31124;Castillon-de-Saint-Martory;19913;
31125;Cathervielle;;
31126;Caubiac;22893;
31127;Caubous;;
31128;Caujac;20932;
31129;Cazarilh-Laspènes;;
31130;Cazaril-Tambourès;;
31131;Cazaunous;;
31132;Cazaux-Layrisse;;
31133;Cazeaux-de-Larboust;;
31134;Cazeneuve-Montaut;;
31135;Cazères;18037;21
31136;Cépet;23504;
31137;Cessales;25226;
31138;Charlas;18671;
31139;Chaum;19998;
31140;Chein-Dessus;19537;
31141;Ciadoux;16801;
31142;Cier-de-Luchon;21996;
31143;Cier-de-Rivière;21053;
31144;Cierp-Gaud;19258;
31145;Cintegabelle;19991;12
31146;Cirès;;
31147;Clarac;21541;
31148;Clermont-le-Fort;27608;
31149;Colomiers;21751;14
31150;Cornebarrieu;24938;7
31151;Corronsac;27956;
31152;Coueilles;;
31153;Couladère;20681;
31155;Couret;19278;
31156;Cox;19629;
31157;Cugnaux;22428;12
31158;Cuguron;20147;
31159;Le Cuing;19636;
31160;Daux;24794;
31161;Deyme;25921;
31162;Donneville;24647;
31163;Drémil-Lafage;26199;
31164;Drudas;23466;
31165;Eaunes;21758;8
31166;Empeaux;20763;
31167;Encausse-les-Thermes;19133;
31168;Eoux;18785;
31169;Escalquens;25478;6
31170;Escanecrabe;19713;
31171;Espanès;26964;
31172;Esparron;;
31173;Esperce;20663;
31174;Estadens;20251;
31175;Estancarbon;21453;
31176;Esténos;17846;
31177;Eup;20164;
31178;Fabas;18860;
31179;Le Faget;20215;
31180;Falga;21848;
31181;Le Fauga;21689;
31182;Fenouillet;21103;14
31183;Figarol;19176;
31184;Flourens;25778;
31185;Folcarde;22218;
31186;Fonbeauzard;21591;10
31187;Fonsorbes;22923;9
31188;Fontenilles;24918;6
31189;Forgues;23509;
31190;Fos;16097;
31191;Fougaron;;
31192;Fourquevaux;25402;
31193;Le Fousseret;19314;
31194;Francarville;22827;
31195;Francazal;;
31196;Francon;19912;
31197;Franquevielle;20507;
31198;Le Fréchet;22031;
31199;Fronsac;19608;
31200;Frontignan-de-Comminges;;
31201;Frontignan-Savès;;
31202;Fronton;21541;9
31203;Frouzins;22897;8
31204;Fustignac;;
31205;Gagnac-sur-Garonne;22997;9
31206;Gaillac-Toulza;19673;
31207;Galié;;
31208;Ganties;18299;
31209;Garac;22356;
31210;Gardouch;22331;
31211;Gargas;22696;
31212;Garidech;23914;
31213;Garin;19416;
31215;Gauré;25026;
31216;Gémil;25906;
31217;Génos;;
31218;Gensac-de-Boulogne;15217;
31219;Gensac-sur-Garonne;20844;
31220;Gibel;20436;
31221;Gouaux-de-Larboust;;
31222;Gouaux-de-Luchon;;
31223;Goudex;;
31224;Gourdan-Polignan;18591;
31225;Goutevernisse;21732;
31226;Gouzens;;
31227;Goyrans;34493;
31228;Gragnague;25362;
31229;Gratens;21829;
31230;Gratentour;24541;6
31231;Grazac;21370;
31232;Grenade;21215;11
31233;Grépiac;22412;
31234;Le Grès;23243;
31235;Guran;;
31236;Herran;;
31237;His;18931;
31238;Huos;18509;
