"LIB_MOD";"INSEE_COM";"P08_LOG";"C08_MEN";"P08_RP";"P08_RSECOCC";"P08_LOGVAC";"P08_RP_PROP";"P08_RP_LOC";"P08_ANEM_RP_PROP";"P08_ANEM_RP_LOC";"P08_RP_VOIT1P";"P13_LOG";"C13_MEN";"P13_RP";"P13_RSECOCC";"P13_LOGVAC";"P13_RP_PROP";"P13_RP_LOC";"P13_ANEM_RP_PROP";"P13_ANEM_RP_LOC";"P13_RP_VOIT1P";"P18_LOG";"C18_MEN";"P18_RP";"P18_RSECOCC";"P18_LOGVAC";"P18_RP_PROP";"P18_RP_LOC";"P18_ANEM_RP_PROP";"P18_ANEM_RP_LOC";"P18_RP_VOIT1P";"Prixm2";"Nb_Ventes";"PrixMoyen_M2";"PrixMoyen_M2_1819";"loyer_apparts";"loyer_maisons";"RP_13_%";"RSE_13_%";"VAC_13_%";"RP_18_%";"RSE_18_%";"VAC_18_%";"RP_PROP_13_%";"RP_LOC_13_%";"RP_PROP_18_%";"RP_LOC_18_%";"PROP_13_18_%";"LOC_13_18_%";"VOIT_13_%";"VOIT_18_%";"VOIT_13_18_%";"PRIX17_19_%"
"Bondy";93010;20086.4357274761;19193.8153274143;19197.7652538619;111.941488576639;776.728985037573;8708.03581495707;10126.1360594343;141886.541711422;119253.178511121;13053.0221331238;20321.8349150591;19294.7880412229;19295.7880326675;84.1851061409554;941.86177625071;8423.92561514706;10552.6127190175;142366.868414249;123156.150641225;12716.5622449215;21318.8719236164;20027.9812852083;20028.9812788138;141.72113164259;1148.16951315997;8215.49091528562;11496.4758454096;143597.301939613;134602.399263876;12944.4442606548;2968;320;3152;3140.24346629986;16.42453284;13.94548775;95;0;5;94;1;5;44;55;41;57;-7;4;66;65;-2;6
"Le Bourget";93013;6296.3528873193;5786.1403591341;5786.1403591341;45.6800258453314;464.532502339866;2434.23082869406;3218.08561634463;41077.8066329119;27251.2669308865;3647.49427320693;6747.46061405082;6155.03961727715;6155.03961727715;128.086075917944;464.334920855732;2725.11900267235;3350.6603185388;43008.0273497125;26687.9095092179;3847.33137797736;7009.92412660803;6289.48778032631;6297.73231666664;92.3678201665383;619.823989774849;2460.79195467297;3754.72334187584;42221.7628409544;35668.5465236329;3855.33778374802;3177;179;3193;3144.34375;17.18015652;15.42492708;91;2;7;90;1;9;44;54;39;60;-11;11;63;61;-3;-1
"Clichy-sous-Bois";93014;9477.3538099159;8754.26416818268;8757.26411810278;34.7127497411546;685.376942071966;3663.69393613952;4915.97979780713;57520.1448404483;46275.9309154294;5833.93850348386;9548.56948255537;8959.50790035914;8960.50790806655;14.8561405334911;573.205433955328;3226.63959162934;5531.38817831186;50535.6440341222;56022.745803466;6023.60990604875;9453.00613609787;8978.60457920201;8978.60457920201;23.2028004797474;451.198756416108;3093.39841932299;5740.38849446181;54195.9000629687;55180.44844252;5861.58193187221;1636;207;2193;1944.22302158273;15.19097828;12.39672655;94;0;6;95;0;5;36;62;34;64;-6;3;67;65;-3;19
"Coubron";93015;1866.1120002149;1797.10070666278;1798.0968822208;7.06650576562081;60.9486122284795;1538.09506157835;228.124202785907;26223.3253892412;1479.32070365534;1664.60935744651;1894.53157416258;1808.37199343425;1805.42356083626;6.30853191690758;82.7994814094119;1522.37403142916;247.668338231213;29295.6262936349;1696.33155471061;1692.40031124662;1992.6134792471;1852.09290178714;1858.05137761058;9.99604183585579;124.566059800664;1541.25907966415;286.006839525306;30232.3132488503;1965.30394243257;1711.0756406323;2942;64;2868;2894.2962962963;16.58026369;13.92748931;95;0;4;93;1;6;84;14;83;15;-1;7;94;92;-2;-2
"La Courneuve";93027;13708.4168237641;12945.4074785915;12947.4074657432;87.4823060627912;673.527051958121;3212.00412587371;9472.23073163757;59059.7119790253;102747.776955085;6709.46519723723;14656.4796252477;13875.4086563659;13876.4086548976;80.3919476511681;699.679022698898;3692.14062827978;9888.98676377057;65467.466125569;105071.468198116;7032.6048708719;16128.8652418675;15330.6659914916;15330.6659914916;121.912714916295;676.28653545967;3837.90072379944;11174.4656925152;69383.2203486008;114074.202907755;7876.58470954909;2818;197;2937;3000.41711229947;16.54259748;15.42492708;95;1;5;95;1;4;27;71;25;73;-7;3;51;51;0;6
"Drancy";93029;27590.1775360682;25856.3369533836;25858.3369671151;123.450603497845;1608.38996545527;12532.6651543787;12480.0988927311;256322.300626884;136753.795696272;17214.8391699387;28126.1631615155;26142.3492646497;26142.3492646497;132.768863304895;1851.04503356092;12258.2459750944;13000.9851463105;250373.649115447;142205.786178216;17517.3466336771;30267.395205269;27964.4340169966;27970.8135704491;292.917873721079;2003.66376109889;12175.665443883;14952.1673585225;243540.459961879;154246.768891785;18508.9553497441;3204;495;3429;3430.13081650571;16.9523306;13.62491329;93;0;7;92;1;7;47;50;44;53;-6;6;67;66;-1;7
"Dugny";93030;4046.97261575131;3883.19071165143;3878.23874747983;22.0087654267149;146.725102844766;578.89779564066;2940.26517138165;8543.21849958355;38106.9746363353;2701.52304632308;4221.67449104992;3959.14059898879;3918.65897268018;15.061296667844;287.954221701888;668.479333033109;2757.76422210404;11102.7212228783;35579.4583173142;2819.31711945256;4271.42618778324;4014.89404695539;4012.89408374224;18.4622563569065;240.069847684096;552.965359296559;3045.32611622841;9510.77376299332;42859.9833069378;2780.71770886284;2509;42;2402;2484.125;15.20626366;12.72715384;93;0;7;94;0;6;17;70;14;76;-18;9;71;69;-3;-1
"Épinay-sur-Seine";93031;20240.648441382;19326.1945278498;19327.1945355303;45.6406010063967;867.813304845342;7067.21964666636;12002.7187706582;113108.610249927;138396.914047391;11980.2931224506;21042.6175784639;19954.6290584481;19954.6290584481;7.8724515103805;1080.11606850549;6792.76325902289;12971.9672120427;109340.822793831;150652.189055936;12264.8169925221;21952.3242113509;20384.7651047693;20387.7650789027;176.469721925842;1388.08941052241;7634.24705112414;12493.156386613;127334.188495154;144613.370814529;12813.2558777179;2619;438;2781;2726.41972717733;15.3463079;12.92380651;95;0;5;93;1;6;34;65;37;61;9;-6;61;63;3;4
"Gagny";93032;15862.0636787615;14810.8054181213;14812.5604180578;121.880108885532;927.623151818205;8851.54215850632;5662.01307896281;163932.790459042;61266.3518200273;11669.9353152085;16131.8269027999;15313.3571466464;15311.3571692565;123.170211014782;697.299522528636;9308.43754723763;5745.85706123467;172043.879901884;63564.7148771156;12098.1643139885;16539.4113731457;15467.53960676;15470.5395895739;124.54914791654;944.322635655277;9019.1473454192;6226.17463514959;169256.107564965;65165.6374698873;12068.5915809543;3106;549;3376;3311.36797752809;16.03867307;12.41556711;95;1;4;94;1;6;61;38;58;40;-5;5;79;78;-1;7
"Gournay-sur-Marne";93033;2690;2528;2521;19;150;2022;436;33940;2202;2244;2963;2689.85511964838;2704;51;208;2064;597;37399;2854;2397;3116;2900;2897;33;186;2190;669;39833;3598;2597;3861;123;4257;4146.05579399142;16.64057545;12.35672737;91;2;7;93;1;6;76;22;76;23;0;5;89;90;1;7
