"LIB_MOD";"CODGEO";"MED15";"MED18";"TP6015";"TP6018";"TP60TOL118";"TP60TOL218";"SNHM19";"SNHMC19";"SNHMP19";"SNHME19";"SNHMO19";"MED15_18_%";"TP6015_18_%"
"Clichy-sous-Bois";93014;12915;14080;45;43;25;53;11.9785604634775;20.2626830874501;14.404162694824;10.5674339432724;11.0737136547036;9;-4
"Coubron";93015;25513;26690;5;6;NA;NA;17.2360133403632;24.8326218859122;17.3591387164648;13.1324054876009;13.7286347810913;5;20
"La Courneuve";93027;13278;14280;43;42;29;46;11.3372692953027;19.3781704393649;13.952106641671;10.1970301404318;10.4571281419736;8;-2
"Drancy";93029;16600;17510;29;29;16;40;13.0102526041776;21.3300531066613;15.319924881416;11.0027501674577;11.2248705331246;5;0
"Dugny";93030;15517;16260;32;32;15;35;12.554567614823;19.9495181706678;14.3253565166823;10.9409188742571;11.5650879193473;5;0
"Épinay-sur-Seine";93031;15792;16380;31;32;18;39;13.22744557574;21.8717231512718;14.7531487822909;11.0642713064005;11.238036158905;4;3
"Gagny";93032;21125;21910;17;18;7;34;15.6350732974611;24.8660927586927;16.3350661583182;11.8128103392025;11.8676764832713;4;6
"Gournay-sur-Marne";93033;27359;28610;6;6;NA;17;20.2662198206404;28.5160826866151;17.419911730172;13.5807037607469;13.5337219866531;5;0
"L'Île-Saint-Denis";93039;15384;15950;34;34;NA;41;13.8652905872606;22.9250966922132;15.5638116356806;10.9139229201761;11.2750098490534;4;0
"Les Lilas";93045;22420;23420;16;16;7;23;18.5230663736812;26.972149247315;16.5370393856835;12.4134589890079;11.9173158781048;4;0
"Livry-Gargan";93046;20261;20830;17;19;10;31;14.8500302379445;24.0448091575953;16.1166798549056;11.6933667064539;12.0593655768407;3;12
"Montfermeil";93047;18363;19700;25;23;11;44;14.406842207957;23.060598556846;15.8048915294607;11.6555511975235;12.021174780067;7;-8
"Montreuil";93048;18289;19610;27;25;7;35;16.4643436460662;25.777550678774;16.1065392422547;11.5876500409687;11.3624658214302;7;-7
"Neuilly-Plaisance";93049;23832;24920;13;13;5;27;17.772628700895;26.5410527614907;16.1919012158766;11.9052838994683;11.8711268660736;5;0
"Neuilly-sur-Marne";93050;19180;19710;20;21;8;30;14.5997581844796;23.0779203878067;15.6199722461163;11.5638342009271;11.8008780525924;3;5
"Noisy-le-Grand";93051;20727;21780;17;18;6;29;16.2894096904369;24.4968769061325;16.102066161509;11.8158555806782;11.9461631942363;5;6
"Noisy-le-Sec";93053;16179;16940;31;31;12;39;13.6516886307235;22.3534836144778;15.1486990619057;11.1366875467366;11.2732577624223;5;0
"Pantin";93055;16179;17970;31;28;11;34;14.8986663814801;24.4200803391815;15.5845383100164;11.1089885730603;10.8083790829016;11;-10
"Les Pavillons-sous-Bois";93057;20341;21000;19;20;10;33;14.9918941530638;23.9092501863873;16.0739924058711;11.7349255956281;11.9282150673216;3;5
"Pierrefitte-sur-Seine";93059;14193;14940;39;39;22;48;12.0661981881859;20.4100770437173;14.1183966383948;10.5777254463832;10.9889913535675;5;0
"Le Pré-Saint-Gervais";93061;18762;19960;24;23;8;30;16.4960859817277;26.068034400735;15.7540672406682;11.7090006961836;11.4814426737047;6;-4
"Le Raincy";93062;26531;27560;11;13;5;25;20.081713994926;29.8793816197973;17.2479179326311;12.7758905643941;12.1979533740474;4;18
"Romainville";93063;17304;18880;27;26;10;36;15.2723301633882;24.0998051430133;15.8929827496366;11.5919903476936;11.704977149374;9;-4
"Rosny-sous-Bois";93064;19679;20530;21;21;9;30;15.2344585726572;23.8157580212754;15.9104564248373;11.6326151774784;11.4736670962244;4;0
"Saint-Denis";93066;14340;15270;39;37;15;43;13.2394937604662;22.6065264933209;14.9028454004567;10.8341169864225;10.8531158022936;6;-5
"Saint-Ouen-sur-Seine";93070;16823;18310;29;27;8;33;16.2225519379554;24.8739771664935;15.8437580878006;11.5352003942962;11.1365968334742;9;-7
"Sevran";93071;15526;16210;32;32;16;44;12.6929824895321;21.6369393804512;14.8497143644133;10.9082970708652;11.4171221878851;4;0
"Stains";93072;14338;15110;37;37;20;44;11.9348977370007;19.7344882487953;14.3022914224839;10.6131676379436;10.9897680797362;5;0
"Tremblay-en-France";93073;19840;20710;18;18;8;31;14.7714869883322;24.0129060748487;16.0822213498355;11.8916669209179;12.5720168486989;4;0
"Vaujours";93074;22001;22790;14;14;7;25;15.1918140532337;23.5922022799508;16.2123099619723;12.0743327115253;12.8185001886946;4;0
"Villemomble";93077;21452;22880;20;18;6;31;16.6077633563065;27.0788560313774;16.5805002614807;12.0097412220559;11.6382884282104;7;-10
"Villepinte";93078;17676;18330;22;23;13;34;13.707348838178;22.4258910763128;15.322074861264;11.4384094301378;11.975193613539;4;5
"Villetaneuse";93079;14717;15330;33;34;19;38;11.985807656287;19.0923928604248;14.2131881839216;10.7518139369718;11.1245429415243;4;3
"Ablon-sur-Seine";94001;22352;23130;14;13;6;26;15.6832335463877;24.7805074328113;16.3989942327531;12.0348259374145;12.8297527054511;3;-7
"Alfortville";94002;19449;21000;22;21;6;28;16.5154087953826;24.3761252248356;16.0771699501462;11.8106393025506;11.7624085240357;8;-5
"Arcueil";94003;21231;22510;17;17;5;23;17.5542572048642;25.4865992022417;15.9023266358486;11.7988930901245;11.7241428941561;6;0
"Boissy-Saint-Léger";94004;19552;20260;18;19;7;29;14.5686151122268;23.6231488779365;15.6640986410096;11.6517720562106;11.5738845753158;4;6
"Bonneuil-sur-Marne";94011;17630;18510;22;23;7;30;13.7802366899284;22.7074026678145;15.2104987250215;11.3571431210534;11.856061655418;5;5
"Bry-sur-Marne";94015;28618;30040;8;8;5;18;21.7935629570254;30.6271124403758;17.4140054285283;13.0380007043906;12.9431122582931;5;0
"Cachan";94016;22970;24060;15;15;5;25;18.8034153557536;26.3293122145288;16.2074270723234;11.9534307635072;11.6594878206303;5;0
"Champigny-sur-Marne";94017;19011;19940;22;21;6;33;15.5130855262956;25.7027613737902;16.2062760109163;11.5476312465767;11.8414258836783;5;-5
"Charenton-le-Pont";94018;27046;28820;9;9;5;14;21.9521170890214;29.9394743285301;17.536028080725;13.4453397548793;12.4988155229522;7;0
"Chennevières-sur-Marne";94019;21465;22460;17;16;6;28;17.0119704103554;27.989196068223;16.2581584063515;12.226030377882;12.4100314162454;5;-6
"Chevilly-Larue";94021;20799;21450;16;17;5;26;15.7102387060554;24.5883176825946;16.2063438191771;11.8877952019695;11.7995565436715;3;6
"Choisy-le-Roi";94022;19018;19920;21;22;7;32;15.1878470019079;24.029974174685;15.7132395049419;11.6231182261827;11.7354281916987;5;5
"Créteil";94028;19053;19930;21;21;10;27;15.2879875915792;24.5264689334247;15.7718606807504;11.42246865979;11.4445523799504;5;0
"Fontenay-sous-Bois";94033;22762;24180;15;15;5;24;19.9804754662488;30.2079884070119;16.8349912347656;12.1427519498645;11.911193615141;6;0
"Fresnes";94034;22102;22690;13;15;5;24;16.8375501979754;25.6344907507017;16.2611756318282;11.9205308455926;11.9832098807138;3;15
"Gentilly";94037;19639;20910;20;20;5;25;17.8856633847305;27.4200798219519;15.7607777874343;11.5173098278785;11.6619500732515;6;0
"L'Haÿ-les-Roses";94038;22163;23280;17;16;5;27;18.1894147790744;28.6358393887493;16.4400404105617;11.8991138629366;11.9265126694248;5;-6
"Ivry-sur-Seine";94041;17406;18480;28;28;10;35;15.2600493306633;23.5795102212237;15.543867835564;11.4283026655092;11.2956672303927;6;0
"Joinville-le-Pont";94042;25333;27160;12;11;5;19;20.8568364714157;29.0955075104613;17.3981253109415;12.5915632505214;12.1551522468676;7;-8
"Le Kremlin-Bicêtre";94043;21673;22910;17;17;7;21;17.3629804493383;24.486217437375;15.7422218129956;11.9154143246201;11.6142596101055;6;0
"Limeil-Brévannes";94044;20966;21550;15;16;5;26;15.1820917188181;23.7850540063067;16.1265993374732;12.0103473605087;12.3405132610686;3;7
"Maisons-Alfort";94046;24329;26070;11;10;5;16;19.0597664222448;26.2710724168742;16.6829391056599;12.7217369962623;12.4780032265881;7;-9
"Mandres-les-Roses";94047;26412;27470;6;6;NA;18;18.3868648216142;28.7377963130571;17.5511957456373;13.1118340858688;11.9616719236804;4;0
"Marolles-en-Brie";94048;30370;30600;5;5;NA;NA;22.3121817871749;31.8837097421569;18.0399272355199;13.4627754815437;13.7648150348463;1;0
"Nogent-sur-Marne";94052;29940;31690;9;8;5;16;24.3262555131199;32.5798669567763;18.0389873827999;13.4829310364486;12.3435932215855;6;-11
"Noiseau";94053;26254;27450;5;5;NA;NA;19.2361889756741;27.9317347069641;17.6537346711365;12.7059080253299;13.9055858997329;5;0
"Orly";94054;17535;18570;22;23;8;31;14.1688785395729;23.0928417390117;15.6878435929109;11.5531782576229;11.9742679622755;6;5
"Ormesson-sur-Marne";94055;26422;27820;6;7;5;23;19.5984218304658;28.5836830585466;17.8166747968037;13.1125845733458;13.8114419532143;5;17
"Périgny";94056;26758;27540;NA;NA;NA;NA;19.8076519393167;28.9877833125446;17.8827359082175;13.3088495152375;14.0889138131251;3;NA
"Le Perreux-sur-Marne";94058;27954;29560;8;8;5;19;22.1992664394498;30.9132760278818;17.5784990896447;13.1471260398797;12.5145450496005;6;0
"Le Plessis-Trévise";94059;24235;25110;11;11;5;21;17.594579076066;27.4311612282096;16.5131547146645;12.2946468533267;12.6681332668519;4;0
"La Queue-en-Brie";94060;22828;23700;10;10;5;23;16.5257099020988;25.2562946274922;17.2798232745723;12.1949882283575;12.8873611166397;4;0
