"LIB_MOD";"CODGEO";"ENCTOT20";"ENCTOT19";"ENCTOT18";"ETCGI19";"ETCGI18";"ETCGI20";"ETCTOT18";"ETCTOT19";"ETCTOT20";"ETCLZ18";"ETCLZ19";"ETCLZ20";"ETCGI18_%";"ETCGI19_%";"ETCGI20_%";"ETCLZ18_%";"ETCLZ19_%";"ETCLZ20_%";"Total_18_20_%";"ETCGI18_20_%";"ETCTOT18_20_%";"ETCLZ18_20_%"
"Gagny";93032;612;552;542;230;233;258;549;580;646;12;10;13;42;40;40;2;2;2;13;11;18;8
"Gournay-sur-Marne";93033;102;97;77;37;22;41;80;99;111;4;4;10;28;37;37;5;4;9;32;86;39;150
"L'Île-Saint-Denis";93039;170;168;127;87;71;86;142;185;186;0;2;2;50;47;46;0;1;1;34;21;31;Inf
"Les Lilas";93045;514;505;434;153;141;178;467;533;552;10;11;13;30;29;32;2;2;2;18;26;18;30
"Livry-Gargan";93046;789;710;587;322;278;385;613;748;841;10;23;16;45;43;46;2;3;2;34;38;37;60
"Montfermeil";93047;460;455;412;193;157;196;429;480;477;17;15;15;37;40;41;4;3;3;12;25;11;-12
"Montreuil";93048;3023;2759;2361;955;952;1286;2539;2926;3308;46;49;38;37;33;39;2;2;1;28;35;30;-17
"Neuilly-Plaisance";93049;395;354;299;120;117;116;314;385;418;8;11;11;37;31;28;3;3;3;32;-1;33;38
"Neuilly-sur-Marne";93050;586;531;394;228;166;293;423;558;606;11;9;11;39;41;48;3;2;2;49;77;43;0
"Noisy-le-Grand";93051;1230;1167;972;464;359;520;1051;1250;1325;25;29;36;34;37;39;2;2;3;27;45;26;44
"Noisy-le-Sec";93053;993;866;800;455;434;539;853;912;1071;10;9;12;51;50;50;1;1;1;24;24;26;20
"Pantin";93055;1812;1635;1486;688;719;871;1602;1761;1951;17;20;19;45;39;45;1;1;1;22;21;22;12
"Les Pavillons-sous-Bois";93057;569;594;476;244;197;235;490;615;606;5;11;7;40;40;39;1;2;1;20;19;24;40
"Pierrefitte-sur-Seine";93059;665;645;568;371;323;394;584;678;686;3;7;6;55;55;57;1;1;1;17;22;17;100
"Le Pré-Saint-Gervais";93061;387;409;350;134;131;162;367;435;414;11;3;5;36;31;39;3;1;1;11;24;13;-55
"Le Raincy";93062;304;337;267;96;90;98;283;363;324;5;20;13;32;26;30;2;6;4;14;9;14;160
"Romainville";93063;715;598;558;266;257;313;581;663;778;5;8;15;44;40;40;1;1;2;28;22;34;200
"Rosny-sous-Bois";93064;908;875;780;400;353;475;827;930;996;10;18;16;43;43;48;1;2;2;16;35;20;60
"Saint-Denis";93066;2734;2454;2330;1231;1257;1559;2471;2617;2940;20;35;45;51;47;53;1;1;2;17;24;19;125
"Saint-Ouen-sur-Seine";93070;1355;1480;1440;638;688;610;1600;1633;1485;27;35;21;43;39;41;2;2;1;-6;-11;-7;-22
"Sevran";93071;825;821;621;422;346;472;649;850;863;5;4;10;53;50;55;1;0;1;33;36;33;100
"Stains";93072;739;661;581;367;352;472;605;698;785;5;10;5;58;53;60;1;1;1;27;34;30;0
"Tremblay-en-France";93073;648;574;438;370;266;424;513;681;722;11;10;9;52;54;59;2;1;1;48;59;41;-18
"Vaujours";93074;116;105;97;48;53;63;102;111;128;1;2;5;52;43;49;1;2;4;20;19;25;400
"Villemomble";93077;587;508;450;183;192;218;469;533;601;12;21;24;41;34;36;3;4;4;30;14;28;100
"Villepinte";93078;654;571;498;310;280;358;535;621;690;7;5;19;52;50;52;1;1;3;31;28;29;171
"Villetaneuse";93079;210;217;215;122;127;149;225;228;222;2;1;0;56;54;67;1;0;0;-2;17;-1;-100
"Ablon-sur-Seine";94001;99;76;65;33;23;45;65;87;102;1;3;5;35;38;44;2;3;5;52;96;57;400
"Alfortville";94002;966;988;849;400;385;446;897;1045;1005;17;20;17;43;38;44;2;2;2;14;16;12;0
"Arcueil";94003;398;396;376;149;153;150;415;437;432;4;3;14;37;34;35;1;1;3;6;-2;4;250
"Boissy-Saint-Léger";94004;309;284;252;122;117;161;267;305;331;4;6;3;44;40;49;1;2;1;23;38;24;-25
"Bonneuil-sur-Marne";94011;318;322;222;170;134;194;247;347;348;0;2;3;54;49;56;0;1;1;43;45;41;Inf
"Bry-sur-Marne";94015;269;257;251;74;64;100;270;267;291;3;6;8;24;28;34;1;2;3;7;56;8;167
"Cachan";94016;532;548;528;200;216;198;554;566;562;9;12;10;39;35;35;2;2;2;1;-8;1;11
"Champigny-sur-Marne";94017;1428;1257;1209;545;534;719;1261;1337;1523;23;22;34;42;41;47;2;2;2;18;35;21;48
"Charenton-le-Pont";94018;615;660;527;173;154;169;576;712;655;18;32;28;27;24;26;3;4;4;17;10;14;56
