"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Cachan";94016;25402.2746378039;18398.7066249402;2711.32844729594;3017.56839637082;2510.66694537979;4497.73934197013;18709.7466375106;5320.66246382054;2784.6322534723;7971.80958265338;19843.8470108814;3152.92267045917;2792.60645809121;1967.28106550722;2843.92557377187;5410.17872985265;27;43;52;93;21
"Champigny-sur-Marne";94017;60793.0378675283;52088.3161832853;13710.2839427382;8414.56946609465;5484.80936223272;6133.0068616339;52086.6246091742;18519.0390401257;9274.25605069536;14023.6425275704;52824.8105222301;13817.4176682877;9415.51161685817;5410.30224165066;5398.85680079739;5534.31911105635;21;27;31;48;15
"Charenton-le-Pont";94018;24494.7287017425;20325.6205633842;2058.06064289992;3542.92815092238;3028.47971216426;6456.75892139574;21257.1662114359;4463.85853129215;3678.14370063687;10527.8748320429;21379.0958784984;2414.52007950613;3361.92631459531;2602.52729303614;3066.58974054607;6115.13990944821;30;50;55;83;10
"Chennevières-sur-Marne";94019;14516.4222770001;12418.6078520345;2818.62128935671;2138.05349691396;1483.63444751279;1573.21609814723;12562.0568528129;4380.91601334396;2274.79176434212;3517.02038250235;12737.779076591;2903.72795779517;2293.51220109324;1533.42568001141;1325.91892274898;1275.59832904028;24;28;32;33;14
"Chevilly-Larue";94021;15653.9458718907;13347.6939095015;2492.0841858403;2635.55306233542;1664.89768027795;1711.41343932749;13429.3752364289;4334.28334329569;2583.22899864053;3941.17892648247;13635.5125020589;2939.4899853929;2478.64378132171;1716.66100587453;1348.87001281836;1612.11782297222;25;29;34;36;17
"Choisy-le-Roi";94022;36171.1329949849;26797.8508663151;6410.488589564;4656.95794090978;3105.76702370547;3593.96248279303;29389.0912147722;10140.3945005786;5309.21293469667;8613.29156317743;31543.0055564597;7267.84305879425;5801.61190783906;3572.85139896154;3502.66895121813;4077.67801728384;23;29;35;52;21
"Créteil";94028;72927.0339825644;59779.0135839577;11237.8455759218;11822.9208674144;7504.47874111994;10336.4789579859;59991.2807171797;18974.6333564909;11601.2763057482;19883.8827665073;61636.8169449752;12456.7833052288;11843.997246334;6769.85603284449;7088.7718564794;9016.33045912917;25;33;37;48;12
"Fontenay-sous-Bois";94033;41890.3797905051;36688.9221323821;5705.25615447762;6291.87561998585;4711.12646615144;8400.99958481996;36930.8624071154;10189.645277727;6320.36117444738;14500.0427557249;36616.9994696386;6845.13464681635;5600.03094634743;4092.41769905465;4748.72257444721;7668.30203952925;26;39;45;73;15
"Fresnes";94034;22717.8776131692;18213.8678340253;3179.87956214125;3035.89324734225;2924.40717344492;3058.85068018963;19323.1573059273;5626.01985879853;3568.13839839794;6814.47490426343;20216.851827783;3620.33881198409;3770.81189294322;2286.39160657309;2228.48338547104;2779.88190280992;32;35;36;12;3
"Gentilly";94037;15292.6325088229;12075.8644672116;2525.48044921759;1955.74306728015;1176.65348175597;2375.25638859055;11641.9966937186;3744.0064817777;1882.62038695156;3923.19700765814;12926.2593925728;2648.78728668808;2101.87275955357;1211.2995119357;1397.91595109741;2838.93103514282;19;34;42;121;24
"L'Haÿ-les-Roses";94038;25095.7468081247;21001.7439733533;3678.5677721676;3324.26322852018;2672.12194842419;4462.0131472997;21979.3619912002;6303.36704933062;3768.01764438019;8274.05511642568;21785.3040916667;4294.78891045518;3528.72533595748;2515.44952007253;2431.96039975827;3955.41553441722;25;38;41;64;8
"Ivry-sur-Seine";94041;51771.5939597248;39121.8854689555;10067.7895125682;6919.08156623018;4082.36660625106;6385.34049443408;40966.6155330699;15011.2357690262;6704.84547563269;12996.3371036414;43194.2317776893;10885.4110970871;6540.15334293252;4088.50494507689;4741.08971820692;8204.39912644457;21;32;39;86;22
"Joinville-le-Pont";94042;16053.4357949373;12792.9025054915;1658.04791555972;2384.28183256304;1785.37208741156;2784.19876757081;13209.6969325739;3390.49275738971;2505.19652945387;5339.32281874347;14002.4257755765;2088.16477675691;2305.91125104695;1629.75046142826;2099.65352761489;3101.3515320211;28;40;49;75;22
