"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Joinville-le-Pont";94042;8215.96461854979;3785.93558836366;543.973125153798;2980.05721140801;8940.3496843738;4414.90023676941;483.14942741139;2975.61996257721;29;45;37;6;12;8;17;23;23;46;7;36;49;5;33;7;-29;-8;28;33;35
"Le Kremlin-Bicêtre";94043;12359.6483319407;7015.76236675501;1439.89312559579;2706.97333764348;11462.6157496373;6785.16650267399;1233.95579875963;2319.57108068892;48;62;42;10;13;13;24;19;19;57;12;22;59;11;20;4;-8;-9;-12;30;-21
"Limeil-Brévannes";94044;10574.5286489944;3132.58707439639;619.594602647264;6120.91349182398;12586.3619235593;3963.9942220261;628.850261792038;7350.07069270063;17;22;23;9;11;13;42;58;45;30;6;58;31;5;58;3;-17;0;35;44;7
"Maisons-Alfort";94046;26262.9264000145;12978.8813483561;1667.63379381855;9253.3020878926;27066.1798520474;14292.431656583;1877.52339330861;8153.59206853266;80;92;120;19;39;37;57;58;57;49;6;35;53;7;30;8;17;-14;50;95;0
"Mandres-les-Roses";94047;1938.79381688466;418.862148236227;97.2047562425684;1216.24510503369;2089.91773931055;433.398431720669;53.8002663115846;1412.42550673177;5;3;5;4;2;1;6;3;4;22;5;63;21;3;68;-5;-40;8;0;-75;-33
"Marolles-en-Brie";94048;2275;373;68;1645;2192;358;48;1598;7;10;7;2;3;1;5;2;2;16;3;72;16;2;73;0;-33;1;0;-50;-60
"Nogent-sur-Marne";94052;15140.1941646808;7953.93781405079;846.971877672285;5035.66270432426;15578.9373880564;8432.61897243483;861.302717957346;4842.70980403902;72;73;88;9;21;10;34;43;30;53;6;33;54;6;31;2;0;-6;22;11;-12
"Noiseau";94053;2207;478;87;1481;2147;445;76;1471;5;5;5;2;0;1;3;3;5;22;4;67;21;4;69;-5;0;3;0;-50;67
"Orly";94054;8812.75321700991;3474.13628524621;679.863702601177;4243.71402240162;9417.94185776227;3990.77869822726;781.909178633196;4315.89948126879;22;31;29;5;12;12;28;41;29;39;8;48;42;8;46;8;0;-4;32;140;4
"Ormesson-sur-Marne";94055;4400.1932883093;920.856045548037;140.001668595098;3001.16252960195;4508.43969557444;907.016060460903;148.488982331396;3110.2247405787;10;13;13;5;4;5;15;10;14;21;3;68;20;3;69;-5;0;1;30;0;-7
"Périgny";94056;1199.95999240815;256.911399540839;36.1455028228248;834.403422339458;1297.05775206887;262.041914228066;34.1357178722787;910.497406690777;6;5;4;0;0;0;1;4;1;21;3;70;20;3;70;-5;0;0;-33;NA;0
"Le Perreux-sur-Marne";94058;15966.5137583512;6858.93667766285;972.317120027799;6789.10652585836;16153.5214361247;7214.76226405417;875.107972346401;6645.58754205909;67;64;68;19;19;16;42;39;36;43;6;43;45;5;41;5;-17;-5;1;-16;-14
"Le Plessis-Trévise";94059;8846.71010419378;2787.25539834938;332.396945242965;5126.56302008719;9055.22876591773;2986.59626440546;356.421167016903;5153.2198968155;16;17;22;3;7;2;33;28;37;32;4;58;33;4;57;3;0;-2;38;-33;12
"La Queue-en-Brie";94060;5368.22196043012;1313.53756715284;251.968175373554;3425.46167037464;5386.50151057584;1384.17415459681;245.579192342778;3447.87654412607;9;10;12;4;2;2;9;12;12;24;5;64;26;5;64;8;0;0;33;-50;33
"Rungis";94065;3007.77154497364;547.04620059605;299.978680075344;1959.31228446386;2889.76143210574;520.120288559099;298.870682525685;1834.90215439647;11;14;11;3;3;10;9;6;6;18;10;65;18;10;63;0;0;-3;0;233;-33
"Saint-Mandé";94067;10594.5995031145;5438.57427161207;979.60207184808;2833.59331273771;10567.0144167977;5860.03425688374;924.536575668204;2555.92685343145;43;67;73;5;17;12;18;46;51;51;9;27;55;9;24;8;0;-11;70;140;183
"Saint-Maur-des-Fossés";94068;33657.0979387876;13921.9564297436;1956.03029409423;14663.0863217007;34791.6752114898;15417.6586828787;1583.92499227366;14285.9698237226;155;194;218;42;50;30;115;114;122;41;6;44;44;5;41;7;-17;-7;41;-29;6
"Saint-Maurice";94069;7613.94616682388;3230.79361135555;454.68552200047;3131.12324983352;6679.68827444849;2886.5748963597;451.434512393506;2455.20927456187;17;24;20;8;5;8;12;10;17;42;6;41;43;7;37;2;17;-10;18;0;42
"Santeny";94070;1508.14287726977;178.026488380288;50.9352851812692;1131.91261251879;1774.4637068901;250.954322204925;58.1331644594204;1331.45322689613;8;7;10;4;0;0;3;3;3;12;3;75;14;3;75;17;0;0;25;-100;0
"Sucy-en-Brie";94071;11274.4735998996;3761.30414696216;548.648741848018;6119.93008561654;11586.7686081213;4179.7978523684;433.37515473833;6188.91911605781;24;41;41;12;12;10;26;37;26;33;5;54;36;4;53;9;-20;-2;71;-17;0
"Thiais";94073;13092.9124415051;4840.42931815406;709.605329698546;6846.66326813745;13533.7204841681;5304.33168552581;764.480321568241;6638.31605041984;47;52;50;7;10;7;26;39;36;37;5;52;39;6;49;5;20;-6;6;0;38
"Valenton";94074;5073.48153085722;2028.29218193018;365.639253329591;2370.19534269614;5578.7983135771;2468.43189303145;320.759829406735;2561.45803700393;11;11;19;4;4;6;24;25;30;40;7;47;44;6;46;10;-14;-2;73;50;25
"Villecresnes";94075;4402.85175343269;860.459209767753;176.118697586718;3018.06202113534;4889.65941951539;978.673190371589;146.140987001538;3421.64963395801;10;14;7;2;2;3;10;12;16;20;4;69;20;3;70;0;-25;1;-30;50;60
"Villejuif";94076;24519.3611499577;13158.4873610249;1944.753205824;7420.09441822706;23054.3445711946;12781.6066469436;2005.2638610369;6395.42552530273;82;74;91;20;31;28;45;58;60;54;8;30;55;9;28;2;12;-7;11;40;33
"Villeneuve-le-Roi";94077;8693.73764044081;3284.62482198709;428.861140696848;4554.38524926449;9029.76942788663;3608.99691084224;386.002135294495;4623.97508977436;8;23;30;9;6;6;37;45;55;38;5;52;40;4;51;5;-20;-2;275;-33;49
"Villeneuve-Saint-Georges";94078;13740.3396886068;6552.24301096682;883.274366027088;5569.75903017775;13274.4256405143;7064.59278402391;642.141889873711;5115.18552821453;25;27;36;5;14;12;82;106;116;48;6;41;53;5;39;10;-17;-5;44;140;41
"Villiers-sur-Marne";94079;12280.3692005764;5969.5005870824;634.123193625222;4965.65704183714;12955.1013670831;6270.63639786792;651.668642968282;5470.92439419998;36;33;40;8;7;8;31;41;38;49;5;40;48;5;42;-2;0;5;11;0;23
"Vincennes";94080;25677.0444435191;16445.5529771383;1978.00076994353;4959.17108432535;25930.4992102146;17526.8158098864;1965.98401199903;4041.76841320619;148;153;144;23;29;25;33;42;45;64;8;19;68;8;16;6;0;-16;-3;9;36
"Vitry-sur-Seine";94081;36871.7428503312;18567.449696968;2327.02560415784;13571.3168208903;38612.2259246078;20146.5028403279;2291.88867061425;13353.4847341929;99;112;114;21;27;33;146;147;142;50;6;37;52;6;35;4;0;-5;15;57;-3
