"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Montrouge";92049;25854.1752349936;13974.0868786475;2621.1853006933;6149.16456664622;24901.142738203;14267.6750091889;2764.79830315068;4910.22983619795;93;103;121;25;15;23;35;42;35;54;10;24;57;11;20;6;10;-17;30;-8;0
"Nanterre";92050;39257.1497565348;19028.2871251186;3798.9835253805;13110.8643652589;42319.7477205489;21698.1543739444;3755.03977756743;12954.1996838914;114;156;140;32;41;42;102;113;131;48;10;33;51;9;31;6;-10;-6;23;31;28
"Neuilly-sur-Seine";92051;27216.249907457;10780.9607232957;2924.47164235592;9435.13942757214;26572.9076146602;11568.5004235826;2717.74657463571;8363.88883818776;180;167;188;15;38;31;52;64;56;40;11;35;44;10;31;10;-9;-11;4;107;8
"Le Plessis-Robinson";92060;14232.7306799729;3868.6520912707;1173.26895823943;8039.48898276083;14423.9787718208;4228.43466050511;1191.4656318956;7787.15280980413;39;38;41;14;7;13;14;18;17;27;8;56;29;8;54;7;0;-4;5;-7;21
"Puteaux";92062;22612.5607033639;11247.3665460608;3495.93157031418;6089.95911476158;23281.998198631;12113.6757559569;3684.5773364318;5471.74168630613;112;124;119;33;31;31;36;39;37;50;15;27;52;16;24;4;7;-11;6;-6;3
"Rueil-Malmaison";92063;37637.2567867293;12686.1349291528;2954.5024230764;18191.0964274895;36099.7300965264;12868.5652043406;2776.45718240911;16530.2252605881;182;179;138;25;54;40;64;70;60;34;8;48;36;8;46;6;0;-4;-24;60;-6
"Saint-Cloud";92064;13368.6168540396;5650.92175103437;938.299295146229;5162.04706643932;13890.7638950944;6468.98583533917;967.565416171751;4785.4493257046;67;67;43;20;15;17;14;18;10;42;7;39;47;7;34;12;0;-13;-36;-15;-29
"Sceaux";92071;8382.24206816991;3389.83708654357;674.014375177396;3552.40753069337;8350.94398051674;3666.86548446358;614.090376627294;3269.64334597615;53;41;43;3;6;4;11;12;1;40;8;42;44;7;39;10;-12;-7;-19;33;-91
"Sèvres";92072;10609.7018562341;4210.92957284732;667.475657992942;4533.49059156416;10757.905643159;4591.6828645749;645.699727500072;4195.31245109064;57;50;47;8;15;15;15;19;12;40;6;43;43;6;39;8;0;-9;-18;88;-20
"Suresnes";92073;23686.3397314444;10459.1501655956;2298.7685652354;8614.02303612385;24654.9790099778;11158.1700298595;2565.4311245881;8159.48283476173;94;94;84;11;24;23;45;33;25;44;10;36;45;10;33;2;0;-8;-11;109;-44
