"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Joinville-le-Pont";94042;17368;18124;19516;16291.5460039114;10204.4177677269;2068.17900630225;17828.3635004854;16173.720974;456.264816907748;526.708077865721;19252.8958411688;16984.3543068386;628.853594308086;667.689122393709;91;88;3;3;3;3;4;8;12;-3;0;0
"Le Kremlin-Bicêtre";94043;26104;25863;24850;24221.1992513608;14356.3732566522;3573.42375651964;25461.7361721765;22297.4709540542;458.450126754216;1238.96259118145;24518.8456215969;21531.4511608834;464.184409588099;1180.30812459022;88;88;2;2;5;5;-1;-4;-5;0;0;0
"Limeil-Brévannes";94044;18768;22816;27684;17344.5499915853;10823.6573010834;1305.04492718823;22431.5139796177;19520.3926240694;1244.51027925384;666.615854238441;27115.7809647055;24497.9697239144;920.655164147009;543.079964780764;87;90;6;3;3;2;22;21;48;3;-50;-33
"Maisons-Alfort";94046;52852;54470;55899;49662.6119408322;31501.1451635358;5237.40113885454;53590.0580613379;48372.196044091;1036.44985421338;1561.72541099239;55170.6854978944;49574.9763666521;1070.09005319429;1798.86517085597;90;90;2;2;3;3;3;3;6;0;0;0
"Mandres-les-Roses";94047;4342;4431;4766;4091.61784152678;2693.56496468883;514.260104485382;4390.37051129608;4040.76113164294;143.825013122516;121.699527589421;4717.18123982838;4351.03313003786;140.154986766616;142.741283227302;92;92;3;3;3;3;2;8;10;0;0;0
"Marolles-en-Brie";94048;5057;4806;4839;4776;3453;265;4771;4502;124;68;4789;4412;205;79;94;92;3;4;1;2;-5;1;-4;-2;33;100
"Nogent-sur-Marne";94052;30852;31367;32922;28645.4144708161;16692.0011013477;4142.85583473811;30909.2889124762;27077.2602289082;831.133604877984;1228.35964337239;32444.8525364918;28774.5913605213;801.596774396738;1240.23616892852;88;89;3;2;4;4;2;5;7;1;-33;0
"Noiseau";94053;4426;4699;4622;4154;3030;186;4651;4241;208;69;4577;4205;186;54;91;92;4;4;1;1;6;-2;4;1;0;0
"Orly";94054;20940;22377;23853;19215.5184618194;13248.3940956974;971.917133306943;21930.9159169993;20333.9416447026;467.820597086157;378.193179974941;23463.9877734014;21444.9417068662;621.798230543616;412.64890942632;93;91;2;3;2;2;7;7;14;-2;50;0
"Ormesson-sur-Marne";94055;9878;10016;10403;9403.1908045977;7168.79208924949;390.024340770791;9935.15396602254;9266.73799106651;331.22885763545;120.283123722549;10329.7710435988;9619.72192964903;376.45266656393;120.43687875173;93;93;3;4;1;1;1;4;5;0;33;0
"Périgny";94056;2229;2487;2672;2095.50721048539;1419.28171420056;284.524031565751;2455.56670342531;2181.58586215158;110.389570312486;110.277035553811;2646.94091478963;2352.65144862479;113.482506001295;121.574610019451;89;89;4;4;4;5;12;7;20;0;0;25
"Le Perreux-sur-Marne";94058;32250;33480;33793;30185.3276000578;18965.6352496528;3645.35404852437;33091.2027711774;30034.5772682709;843.789173359844;1032.38413974089;33332.4499089826;29523.0329697754;1043.08907516403;1252.60131027568;91;89;3;3;3;4;4;1;5;-2;0;33
"Le Plessis-Trévise";94059;18503;19157;20025;17227.916236856;10734.607325708;1869.80116977148;18867.8987488671;17116.3268100517;564.639763802062;446.142821161316;19798.8284754923;18254.2222232778;557.385774569527;438.138649250303;91;92;3;3;2;2;4;5;8;1;0;0
"La Queue-en-Brie";94060;11439;12008;11909;10622.2638630056;7116.25847087341;781.700108320402;11855.1142798708;11063.5526300448;313.651871514043;147.849724449744;11761.0515012817;10767.4676927685;424.091226011552;270.082416172453;93;92;3;4;1;2;5;-1;4;-1;33;100
"Rungis";94065;5618;5621;5704.99999999999;5276.8077524867;3416.46251183044;468.427004052383;5551.55581260692;4872.47825881521;152.03322866724;208.036068028092;5645.97410112076;5104.83008281812;101.034929883488;104.745202470125;88;90;3;2;4;2;0;1;2;2;-33;-50
"Saint-Mandé";94067;22518;22398;22248;21013.7859767074;13238.6158953935;3349.88181148508;22048.349368712;19703.9208389542;346.455372379398;1053.70431627965;21914.272012031;19570.512064727;306.765510060561;1092.80883880659;89;89;2;1;5;5;-1;-1;-1;0;-50;0
"Saint-Maur-des-Fossés";94068;75723.9999999999;74133;75298;71619.236214942;45753.9281354055;6656.39412002868;73450.9849129211;66011.971632596;1526.70841030919;1988.45241112407;74382.9801880684;67120.0673744911;1711.89120656773;1961.65394175254;90;90;2;2;3;3;-2;2;-1;0;0;0
"Saint-Maurice";94069;14558;14927;14001;13443.5443171073;8102.19166896194;1834.54869556683;14680.5898044993;13080.630340331;431.946239183964;650.426147762064;13801.9293705069;12188.7358345803;429.146944576913;433.702182720005;89;88;3;3;4;3;3;-6;-4;-1;0;-25
"Santeny";94070;3675.00000000001;3640;4045;3455.37344438623;2360.76019375469;314.830961656421;3597.54242942172;3293.86320869592;124.626335613966;112.252283608735;4010.16440647912;3654.64369028197;161.487323526012;106.303929499864;92;91;3;4;3;3;-1;11;10;-1;33;0
"Sucy-en-Brie";94071;26089;25849;26974;24508.2484162212;17438.3768715207;1621.36658842497;25589.4563114961;23700.1403014565;647.314734457834;385.415699129452;26647.9999959116;24619.1434388681;706.092321129101;340.043628483161;93;92;3;3;2;1;-1;4;3;-1;0;-50
"Thiais";94073;29616;29280;29806;27727.1644364824;18477.5103552903;1947.71301860965;28877.3337518923;25935.2131042628;1207.31811073656;530.658612606325;29390.7067718705;26943.710761012;784.10549721523;527.079323969994;90;92;4;3;2;2;-1;2;1;2;-25;0
"Valenton";94074;12222;12819;14837;11161.3198269199;8009.5306887899;770.694609174954;12602.7064827573;11246.1965658236;376.014779370885;345.934671020102;14545.0093320703;13480.3645573717;442.663355085394;209.760176377012;89;93;3;3;3;1;5;16;21;4;0;-67
"Villecresnes";94075;9401;9673.99999999999;11119;8864.27608291348;6008.03911815358;780.284791511675;9595.50780751727;8772.5187152234;270.695461590844;184.151065281472;10971.916167921;9883.23014417347;532.756212754845;232.435683589968;91;90;3;5;2;2;3;15;18;-1;67;0
"Villejuif";94076;53240;57184;54964;49324.4251510509;31985.1593478466;5682.216820282;56377.1142693052;51106.5133891203;935.501301483158;1817.9351718359;54244.2578492037;48585.8150228105;954.59876868083;1942.96985554819;91;90;2;2;3;4;7;-4;3;-1;0;33
"Villeneuve-le-Roi";94077;18457;20481;21214;17029.7883659757;11910.9007802369;1087.02314646698;20196.5038250347;18515.5763297146;393.072945334645;375.85443568561;20915.1138430738;19066.3419340053;592.034778766672;429.87072426151;92;91;2;3;2;2;11;4;15;-1;50;0
"Villeneuve-Saint-Georges";94078;30820;32575;34607;28054.9179223123;18262.7680026143;2359.71312510523;32013.5714051348;28496.3631698417;662.99315997073;1066.65111376036;33982.0799596733;30830.397408439;568.582604891234;693.424962312109;89;91;2;2;3;2;6;6;12;2;0;-33
"Villiers-sur-Marne";94079;27457;28190;28592;25413.5715659031;17357.0648685778;2401.29919650456;27829.2478752485;25610.126669941;547.617902725038;745.202695472973;28240.7871121367;26288.5845236085;508.338014070357;596.731330093156;92;93;2;2;3;2;3;1;4;1;0;-33
"Vincennes";94080;48118;49695;49635;45003.2492150034;25244.0400181881;8685.81531285207;48960.1563237816;43220.4172735506;832.752144997022;2513.14889487331;48987.0926578001;43000.6437519798;734.160111730157;2670.59909585274;88;88;2;1;5;5;3;0;3;0;-50;0
"Vitry-sur-Seine";94081;84071;90075;94649;77949.2862868159;53862.9852202782;5944.5651467476;88595.6132772273;80087.7134932969;1831.67587175206;2151.9231629224;93224.2753565381;85355.7829283137;1601.22230600047;2145.8799672856;90;92;2;2;2;2;7;5;13;2;0;0
