"LIB_MOD";"CODGEO";"P08_POP";"P13_POP";"P18_POP";"P08_POP05P";"P08_POP05P_IRAN1";"P08_POP05P_IRAN4";"P13_POP01P";"P13_POP01P_IRAN1";"P13_POP01P_IRAN3";"P13_POP01P_IRAN4";"P18_POP01P";"P18_POP01P_IRAN1";"P18_POP01P_IRAN3";"P18_POP01P_IRAN4";"P13_POP01P_IRAN1_%";"P18_POP01P_IRAN1_%";"P13_POP01P_IRAN3_%";"P18_POP01P_IRAN3_%";"P13_POP01P_IRAN4_%";"P18_POP01P_IRAN4_%";"P08_P013_%";"P13_P018_%";"P08_P018_%";"IRAN1_13_18_%";"IRAN3_13_18_%";"IRAN4_13_18_%"
"Marnes-la-Coquette";92047;1679.99999999999;1673;1792;1593.28868396618;1140.46902292801;92.7325743149404;1660.57712488912;1508.63580622525;48.7358946657674;42.0466542214464;1778.56540330418;1643.49601554908;56.8052478134112;34.5267249757046;91;92;3;3;3;2;0;7;7;1;0;-33
"Meudon";92048;44706;45043;45748;41792.5438207495;27570.6875641028;3690.1631785114;44396.6561822936;40148.2444758847;1099.04319458806;1157.33550315528;45226.8025952176;40885.8787021044;971.914887629289;1176.12855895125;90;90;2;2;3;3;1;2;2;0;0;0
"Montrouge";92049;46682;49656;48734;43334.0650883048;23602.8749422003;7737.73369910633;48927.4933580189;43327.4204671742;556.639191570644;2340.33388155262;48001.5958550321;42461.7069137433;804.116741256098;2286.1077051099;89;88;1;2;5;5;6;-2;4;-1;100;0
"Nanterre";92050;89556;92227;96807;82271.2288342768;52992.2023339111;6191.47195026797;90776.1556555149;82098.9609161093;1354.26628858743;1862.92696034828;95319.1333064432;85740.860835922;1646.99472862426;1983.46079831981;90;90;1;2;2;2;3;5;8;0;100;0
"Neuilly-sur-Seine";92051;60341;62346;59940;56822.3170773858;34208.4310676384;7767.01222545659;61664.0964726607;54361.149220638;672.104531537964;2042.44304674594;59314.1898762457;51845.5323682513;757.567397501261;2002.694998767;88;87;1;1;3;3;3;-4;-1;-1;0;0
"Le Plessis-Robinson";92060;24675;28500;29665;22840.5211089867;13668.9419349874;2330.3023594135;28070.6481655047;25268.102289306;714.658204534572;620.448367110436;29272.9642946329;26657.8860992415;797.618924682811;586.87555446678;90;91;3;3;2;2;16;4;20;1;0;0
"Puteaux";92062;44548;43891;44837;41384.0543262407;24369.6238064878;4287.89506791348;43105.3089101435;37807.3244327042;870.597892275484;1343.26574322937;44109.8487031122;38877.201012896;1126.65578924904;1232.11609525332;88;88;2;3;3;3;-1;2;1;0;50;0
"Rueil-Malmaison";92063;78112;79762;77986;72571.5115441865;45845.7067121344;6188.41254410934;78733.6766571257;70404.0583848445;1698.33087913932;1840.20880882784;77088.4183984411;69696.8469361416;1480.79189622595;1521.05295346718;89;90;2;2;2;2;2;-2;0;1;0;0
"Saint-Cloud";92064;29772;29109;30038;27679.5728455985;17125.0450476531;2840.53896078722;28765.0693070043;25597.5678922029;625.049317853722;812.597320117911;29637.3331750456;26379.6909759227;706.896031790887;866.833220940677;89;89;2;2;3;3;-2;3;1;0;0;0
"Sceaux";92071;19625;19718;19606;18570.0183386983;12082.709600667;1940.39090349741;19552.292803565;17356.9059774955;604.869076783751;630.521360777273;19395.8014824219;16923.4188478874;556.525968217416;783.944749398169;89;87;3;3;3;4;0;-1;0;-2;0;33
"Sèvres";92072;23122;23404;23251;21498.2088557745;14448.4354650195;1948.63492523507;23026.547262146;20936.615417161;535.558656256414;558.15395184093;22985.0350975668;20450.9569684132;750.055556220214;568.524626907183;91;89;2;3;2;2;1;-1;1;-2;50;0
"Suresnes";92073;45617;48066;48763;41886.2822805643;25095.2757872082;4662.90259921277;47199.1493488143;42592.6433101203;1043.50660109622;1116.15937877286;48042.3054634546;42257.2040136505;1414.75917421353;1480.74353993978;90;88;2;3;2;3;5;1;7;-2;50;50
"Vanves";92075;26459;28170;27466;24916.6872876011;15611.9723638761;3103.09439408521;27782.8042090375;24743.4693458475;562.034961050108;962.856515839079;27211.1053510686;24532.2695472377;553.280046754974;864.810638177231;89;90;2;2;3;3;6;-2;4;1;0;0
"Vaucresson";92076;8635.99999999999;8816;8660.00000000001;8021.71300268952;5071.43667829333;870.447344974931;8698.46857123585;7876.90586735686;285.785173728173;226.430874571182;8580.37777086419;7722.54063391135;273.630255698673;218.285528426049;91;90;3;3;3;3;2;-2;0;-1;0;0
"Ville-d'Avray";92077;10861;11266;11050;10192.6327579503;6353.38002957306;807.15480738562;11172.4200950463;10000.278023454;285.926961259648;329.57819047662;10945.6719205897;9752.91251202153;338.877926197766;276.18312992078;90;89;3;3;3;3;4;-2;2;-1;0;0
"Villeneuve-la-Garenne";92078;24711;25466;24023;22455.6255919737;15430.2335588135;1942.18140832622;25012.8631407262;23321.1080072271;201.116430323112;542.078613656065;23734.259448167;22358.4185815694;229.119761773487;489.384122561903;93;94;1;1;2;2;3;-6;-3;1;0;0
