"LIB_MOD";"CODGEO";"P08_ACTOCC15P";"P08_ACTOCC15P_ILT1";"P08_ACTOCC15P_ILT2";"P08_ACTOCC15P_ILT3";"P13_ACTOCC15P";"P13_ACTOCC15P_ILT1";"P13_ACTOCC15P_ILT2";"P13_ACTOCC15P_ILT3";"P18_ACTOCC15P";"P18_ACTOCC15P_ILT1";"P18_ACTOCC15P_ILT2";"P18_ACTOCC15P_ILT3";"Com_08_%";"Dept_08_%";"Reg_08_%";"Com_13_%";"Dept_13_%";"Reg_13_%";"Com_18_%";"Dept_18_%";"Reg_18_%";"Com_13_18_%";"Dept_13_18_%";"Reg_13_18_%"
"Le Kremlin-Bicêtre";94043;12597.7597931285;2250.56392132902;2062.5028838146;8189.54485407079;12359.6483319407;2506.45467813456;1973.69586023671;7783.42349474886;11462.6157496373;2113.82859505073;1890.58098693922;7322.19915570767;18;16;65;20;16;63;18;16;64;-10;0;2
"Limeil-Brévannes";94044;8761.845503764;1687.4305527201;3760.07969341578;3245.13150352998;10574.5286489944;1810.66192359896;4617.56932050446;4098.91162660892;12586.3619235593;2162.89880033312;5393.42316040922;4932.02986651505;19;43;37;17;44;39;17;43;39;0;-2;0
"Maisons-Alfort";94046;25591.4320023124;5196.5460393282;7028.13321053237;13209.085395508;26262.9264000145;5306.33715933844;6305.91560039002;14395.8296299789;27066.1798520474;5020.49513950513;6537.73273396691;15228.5365936765;20;27;52;20;24;55;19;24;56;-5;0;2
"Mandres-les-Roses";94047;2055.15696040757;330.998290977971;717.681771535276;992.621758690268;1938.79381688466;376.026872770511;671.548711850971;869.417043202537;2089.91773931055;252.064210682054;808.000295901761;1011.91981062287;16;35;48;19;35;45;12;39;48;-37;11;7
"Marolles-en-Brie";94048;2546;268;1100;1133;2275;269;987;977;2192;231;997;906;11;43;45;12;43;43;11;45;41;-8;5;-5
"Nogent-sur-Marne";94052;14895.102463583;1977.7691273438;2852.48054239384;9883.89526704034;15140.1941646808;2157.44698066625;2803.26765868742;10044.1727937142;15578.9373880564;2331.80651067907;2609.49287087148;10444.4133016474;13;19;66;14;19;66;15;17;67;7;-11;2
"Noiseau";94053;2114;220;986;896;2207;268;1020;895;2147;218;1030;878;10;47;42;12;46;41;10;48;41;-17;4;0
"Orly";94054;8471.33378676656;2259.73901886678;2858.83078702016;3311.32518320147;8812.75321700991;2276.51321685094;2870.63005396256;3604.43474518647;9417.94185776227;2061.12825860726;3086.08416506667;4172.3068135303;27;34;39;26;33;41;22;33;44;-15;0;7
"Ormesson-sur-Marne";94055;4399.9080318254;661.341379310345;1934.09221032439;1756.59452332657;4400.1932883093;748.318777913234;1848.61358180147;1746.07714846421;4508.43969557444;714.464132190863;1900.27892572006;1815.12834659956;15;44;40;17;42;40;16;42;40;-6;0;0
"Périgny";94056;1108.59529719731;101.89443995119;411.224605833462;581.446249384151;1199.95999240815;99.1982478583667;466.437168140213;621.563540712649;1297.05775206887;155.672808193752;449.685451965295;673.639199207398;9;37;52;8;39;52;12;35;52;50;-10;0
"Le Perreux-sur-Marne";94058;15261.0144902464;2101.874251439;3546.94435017108;9466.86727704715;15966.5137583512;2289.0592091782;3348.68349386125;10180.0460513127;16153.5214361247;2019.18313587668;3338.06011134646;10590.4211348973;14;23;62;14;21;64;12;21;66;-14;0;3
"Le Plessis-Trévise";94059;8771.87441674782;1177.59989324794;3007.33871674368;4516.49996640195;8846.71010419378;1233.79958168366;2643.86891662853;4881.36480077398;9055.22876591773;1266.9476788647;2733.76365870735;4975.63810985141;13;34;51;14;30;55;14;30;55;0;0;0
"La Queue-en-Brie";94060;5284.75871035904;775.358788974617;2201.43680350525;2274.31954410962;5368.22196043012;825.195294685328;2184.92983569059;2303.997845446;5386.50151057584;743.188967262287;2185.62370616387;2386.85458735336;15;42;43;15;41;43;14;41;44;-7;0;2
"Rungis";94065;2955.84582062813;726.345007996532;775.180349101621;1425.15038730026;3007.77154497364;731.98991627047;842.498419881113;1410.65330821789;2889.76143210574;830.777001217279;771.20455202409;1264.15856840523;25;26;48;24;28;47;29;27;44;21;-4;-6
"Saint-Mandé";94067;10772.1610821805;1697.7527189765;1231.21725705959;7723.63021115405;10594.5995031145;1847.0517002029;1243.81713992079;7388.1408483453;10567.0144167977;1637.08915467991;1165.33575005866;7596.60589676198;16;11;72;17;12;70;15;11;72;-12;-8;3
"Saint-Maur-des-Fossés";94068;35164.8718795965;7742.43728045513;8877.09837476918;18206.8461799422;33657.0979387876;7482.44366513613;8144.57306118075;17666.1209543658;34791.6752114898;7473.73329628998;8428.69345136051;18393.9412161795;22;25;52;22;24;52;21;24;53;-5;0;2
"Saint-Maurice";94069;7303.38396432326;905.497928663514;1829.31718288892;4503.49793588867;7613.94616682388;1074.96578721203;1818.90142750729;4614.28070227419;6679.68827444849;917.528819838433;1454.7131722442;4229.10056502965;12;25;62;14;24;61;14;22;63;0;-8;3
"Santeny";94070;1626.94397693422;219.26547261321;616.419491922094;765.774077729984;1508.14287726977;236.323092996365;576.865836245395;684.931676167325;1774.4637068901;336.351778173257;598.186492693799;817.347579070772;13;38;47;16;38;45;19;34;46;19;-11;2
"Sucy-en-Brie";94071;11696.3861784777;1993.66526546965;4558.23092962266;5037.19028364011;11274.4735998996;2056.36749969132;4414.85418882691;4677.6553497012;11586.7686081213;1930.47465661093;4520.96531108571;5026.97715348847;17;39;43;18;39;41;17;39;43;-6;0;5
"Thiais";94073;13456.3811349134;1855.91659029918;5228.32671611156;6281.99756226684;13092.9124415051;2127.67548229387;4900.59719726078;5989.6236659092;13533.7204841681;2086.27069430518;5010.95322566385;6342.31450773242;14;39;47;16;37;46;15;37;47;-6;0;2
"Valenton";94074;4909.82809483086;760.969662981417;2206.95359705035;1917.30327474848;5073.48153085722;881.076098174669;2339.57797394268;1820.66631768979;5578.7983135771;762.38391990543;2345.56782761417;2410.54727422818;15;45;39;17;46;36;14;42;43;-18;-9;19
"Villecresnes";94075;4373.88190993762;645.467763148005;1973.91834700143;1724.84254470053;4402.85175343269;676.295798732998;1916.17142974349;1746.09108750261;4889.65941951539;596.820934012732;2193.0576501005;2053.58142660813;15;45;39;15;44;40;12;45;42;-20;2;5
"Villejuif";94076;23396.6078135236;4863.66118082266;5172.0497353211;13176.3154070659;24519.3611499577;5287.97603759385;5334.29899461034;13729.094366574;23054.3445711946;4911.07651121121;4563.0633182421;13354.4265854205;21;22;56;22;22;56;21;20;58;-5;-9;4
"Villeneuve-le-Roi";94077;7873.55915682492;1530.80874296086;2781.56315293692;3530.43905395378;8693.73764044081;1723.99203400163;2950.75680089197;3984.73588635112;9029.76942788663;1687.34158300401;3181.91362277911;4080.03448868593;19;35;45;20;34;46;19;35;45;-5;3;-2
"Villeneuve-Saint-Georges";94078;13032.6344357242;3092.37364481356;3953.80775649639;5877.28190225621;13740.3396886068;3180.84578488273;4076.80209463858;6393.31812576877;13274.4256405143;2610.24830564482;3810.23425216596;6657.08421712757;24;30;45;23;30;47;20;29;50;-13;-3;6
"Villiers-sur-Marne";94079;12542.9235767404;1931.4096791635;3360.33152821722;7168.31966667693;12280.3692005764;1663.63244786766;3351.9902632506;7124.35456259067;12955.1013670831;2346.69246290916;3001.46398296781;7494.18618105264;15;27;57;14;27;58;18;23;58;29;-15;0
"Vincennes";94080;25523.7661865513;3503.23538069824;2891.81877416396;18820.3785187995;25677.0444435191;3675.29700411545;2764.65153794495;18879.7462635535;25930.4992102146;3462.1033986925;2859.79683209395;19245.7268038099;14;11;74;14;11;74;13;11;74;-7;0;0
"Vitry-sur-Seine";94081;35494.1930473301;7965.14477076673;10044.27831899;17241.8458053829;36871.7428503312;8489.91947934219;9643.71861097281;18440.3958379354;38612.2259246078;8453.29449630866;9901.38038995309;19848.3115151402;22;28;49;23;26;50;22;26;51;-4;0;2
