"CODGEO";"LIB_MOD";"PRIX17_19_%";"PrixMoyen_M2_1819";"LOC_13_18_%";"MED15_18_%";"MED18";"COMMUN_13_18_%";"ETCOQ18_20_%";"Total_18_20_%";"ETCGI20_%";"CDI_13_18_%";"CHOM_13_18_%";"Cad_13_18_%";"APL_SAPA";"SUP_13_18_%";"P13_P018_%";"P18_POP01P_IRAN1_%";"cluster"
93032;"Gagny";7;3311.36797752809;5;4;21910;5;-10;13;40;0;8;11;857.76;15;1;92;"Moderat"
93033;"Gournay-sur-Marne";7;4146.05579399142;5;5;28610;0;0;32;37;1;-12;6;703.83;16;3;92;"elevat"
93039;"L'Île-Saint-Denis";14;3396.42056074766;-1;4;15950;9;60;34;46;-1;15;0;958.6;35;15;92;"Crític"
93045;"Les Lilas";12;6305.26944971537;-5;4;23420;2;5;18;32;0;-13;19;932.52;18;3;91;"Moderat"
93046;"Livry-Gargan";7;3175.91141260974;0;3;20830;6;19;34;46;0;8;12;935.27;21;4;91;"Moderat"
93047;"Montfermeil";6;3177.47791164659;3;7;19700;7;-22;12;41;0;-18;0;677.11;21;5;93;"Moderat"
93048;"Montreuil";19;5699.86585365854;2;7;19610;3;17;28;39;0;-6;23;911.71;21;6;90;"Moderat"
93049;"Neuilly-Plaisance";10;4107.15463917526;8;5;24920;9;68;32;28;-1;0;7;871.47;14;0;90;"elevat"
93050;"Neuilly-sur-Marne";5;3136.38699690402;6;3;19710;8;38;49;48;-1;-21;0;843.69;19;3;92;"Moderat"
93051;"Noisy-le-Grand";8;3846.28360049322;14;5;21780;4;8;27;39;0;8;15;967.16;22;8;90;"Moderat"
93053;"Noisy-le-Sec";12;3698.28571428571;-3;5;16940;6;-10;24;50;0;-18;14;946.63;27;8;92;"Crític"
93055;"Pantin";13;5253.96090356212;0;11;17970;2;61;22;45;-1;-16;30;925.59;27;10;91;"Crític"
93057;"Les Pavillons-sous-Bois";7;3361.41095890411;18;3;21000;9;-25;20;39;-2;17;11;1015.2;7;6;89;"Moderat"
93059;"Pierrefitte-sur-Seine";7;2995.41866666667;17;5;14940;10;-30;17;57;0;5;0;887.5;12;8;93;"Crític"
93061;"Le Pré-Saint-Gervais";13;5733.64705882353;0;6;19960;5;-3;11;39;0;-6;8;935.47;12;-2;91;"Moderat"
93062;"Le Raincy";5;4017.99270072993;16;4;27560;10;57;14;30;0;0;6;964.24;14;3;88;"elevat"
93063;"Romainville";17;4904.93621867882;5;9;18880;11;26;28;40;-1;-15;43;921.76;43;11;92;"Crític"
93064;"Rosny-sous-Bois";9;3616.6712962963;2;4;20530;0;12;16;48;0;0;0;970.87;14;5;91;"Moderat"
93066;"Saint-Denis";10;3661.20125786164;0;6;15270;5;-8;17;53;-4;-4;17;1107.04;23;3;90;"Crític"
93070;"Saint-Ouen-sur-Seine";16;5487.46875;1;9;18310;0;2;-6;41;1;0;75;1024.08;30;7;89;"Crític"
93071;"Sevran";3;2684;6;4;16210;0;12;33;55;0;5;0;792.4;11;4;94;"Crític"
93072;"Stains";2;2839.57297297297;0;5;15110;2;8;27;60;-6;-4;0;902.2;7;6;94;"Crític"
93073;"Tremblay-en-France";4;3011.75778078484;5;4;20710;-9;16;48;59;0;0;0;803.41;25;5;92;"Moderat"
93074;"Vaujours";1;3165.30769230769;5;4;22790;0;267;20;49;-1;18;-20;797.82;4;3;90;"Moderat"
93077;"Villemomble";12;3784.04347826087;-2;7;22880;7;14;30;36;2;0;0;927.75;19;3;91;"Moderat"
93078;"Villepinte";8;2807.5170178282;13;4;18330;-3;34;31;52;-1;6;20;747.81;15;6;90;"Crític"
93079;"Villetaneuse";4;2872.8407079646;-5;4;15330;6;67;-2;67;-4;-12;0;919.97;31;9;94;"Crític"
94001;"Ablon-sur-Seine";5;2864.31707317073;9;3;23130;5;57;52;44;-1;9;18;731.69;21;8;90;"Moderat"
94002;"Alfortville";9;4733.14859813084;-4;8;21000;6;15;14;44;-1;0;18;934.46;18;-1;90;"Moderat"
94003;"Arcueil";18;5448.86337209302;0;6;22510;2;-24;6;35;-2;-14;14;1031.06;19;10;90;"Moderat"
94004;"Boissy-Saint-Léger";8;3072.94210526316;0;4;20260;2;13;23;49;-4;0;0;560.5;15;1;90;"Moderat"
94011;"Bonneuil-sur-Marne";7;3582.92727272727;1;5;18510;29;111;43;56;-3;20;17;854.42;33;8;92;"Crític"
94015;"Bry-sur-Marne";13;4931.41538461538;19;5;30040;-2;0;7;34;0;12;0;896.42;11;3;90;"elevat"
94016;"Cachan";12;5087.14336917563;7;5;24060;6;24;1;35;-1;8;17;990;21;5;89;"Moderat"
94017;"Champigny-sur-Marne";8;3846.94253591505;2;5;19940;5;-4;18;47;0;-7;0;845.64;15;1;93;"Moderat"
94018;"Charenton-le-Pont";13;7172.53012048193;2;7;28820;2;0;17;26;1;-10;8;952.17;10;-1;90;"elevat"
94019;"Chennevières-sur-Marne";4;3464.95979899497;18;5;22460;10;56;51;44;-1;8;-9;663.68;14;0;91;"Moderat"
94021;"Chevilly-Larue";5;3506.94736842105;-2;3;21450;-5;-20;14;53;-1;0;0;861.15;17;5;94;"Moderat"
94022;"Choisy-le-Roi";8;3620.22551928783;2;5;19920;2;6;14;46;-1;7;11;902.2;21;8;90;"Moderat"
94028;"Créteil";7;3678.51590106007;2;5;19930;8;22;28;47;-1;-7;10;930.23;12;3;90;"Moderat"
94033;"Fontenay-sous-Bois";12;5790.84324324324;2;6;24180;6;-16;10;34;-1;0;6;935.91;15;-2;91;"Moderat"
94034;"Fresnes";5;3292.86413043478;14;3;22690;-8;4;65;49;-4;11;-8;975.74;3;6;83;"Moderat"
94037;"Gentilly";20;6047.73895582329;3;6;20910;6;-8;9;41;-2;-12;23;1028.57;24;13;87;"Moderat"
94038;"L'Haÿ-les-Roses";9;4225.42105263158;6;5;23280;5;-21;26;50;-2;8;0;1017.61;8;1;91;"Moderat"
94041;"Ivry-sur-Seine";13;4850.82281059063;-4;6;18480;4;23;23;50;-1;0;27;967.07;22;7;89;"Crític"
94042;"Joinville-le-Pont";11;5595.69488536155;-2;7;27160;7;28;14;45;1;0;6;930.7;22;8;88;"elevat"
94043;"Le Kremlin-Bicêtre";14;5675.5;-4;6;22910;4;-12;1;43;0;8;18;951.85;17;-4;88;"Moderat"
94044;"Limeil-Brévannes";7;3131.53911806543;7;3;21550;3;35;34;53;0;0;0;728.47;28;21;90;"Moderat"
94046;"Maisons-Alfort";9;5290.18502824859;0;7;26070;8;50;19;31;1;0;13;949.57;18;3;90;"elevat"
94047;"Mandres-les-Roses";14;3160.40625;25;4;27470;-5;0;6;30;2;-11;0;326.76;12;8;92;"elevat"
94048;"Marolles-en-Brie";12;3202.32203389831;11;1;30600;0;0;53;30;1;-12;-9;338.37;7;1;92;"elevat"
94052;"Nogent-sur-Marne";9;6069.5797914996;2;6;31690;2;22;8;27;1;0;4;933.14;13;5;89;"Baix"
94053;"Noiseau";4;3824.28346456693;0;5;27450;-5;0;35;38;0;-22;0;442.26;12;-2;92;"elevat"
94054;"Orly";6;3318.9801980198;3;6;18570;8;32;13;49;0;-11;0;900.21;37;7;91;"Crític"
94055;"Ormesson-sur-Marne";6;4153.08461538462;9;5;27820;-5;30;45;36;0;0;-8;637.79;3;4;93;"elevat"
94056;"Périgny";2;3138.04081632653;27;3;27540;-5;-33;-12;36;0;0;-12;588.2;14;7;89;"elevat"
94058;"Le Perreux-sur-Marne";9;5318.36886503067;6;6;29560;5;1;-1;28;0;0;10;940.38;18;1;89;"elevat"
94059;"Le Plessis-Trévise";8;3650.42833052277;17;4;25110;3;38;28;35;0;12;-8;658.72;3;5;92;"elevat"
94060;"La Queue-en-Brie";3;3200.45205479452;10;4;23700;8;33;7;41;0;-9;0;970.92;10;-1;92;"Moderat"
94065;"Rungis";-1;4081.87837837838;0;2;28860;0;0;-5;38;1;17;6;985.3;5;1;90;"elevat"
94067;"Saint-Mandé";14;8269.57364341085;-10;8;34180;8;70;65;29;-1;0;8;969.57;19;-1;89;"Baix"
94068;"Saint-Maur-des-Fossés";13;5643.07875722543;-3;6;30570;7;41;9;25;1;-11;10;850.02;15;2;90;"Baix"
94069;"Saint-Maurice";3;5711.98152424942;2;6;27240;2;18;13;32;-1;22;5;997.9;4;-6;88;"elevat"
94070;"Santeny";13;3318.26530612245;10;-1;29220;17;25;7;39;-2;0;-22;311.57;15;11;91;"elevat"
94071;"Sucy-en-Brie";10;3782.54929577465;0;4;26390;9;71;15;34;1;0;6;528.83;14;4;92;"elevat"
94073;"Thiais";5;3583.10825439784;-7;5;23330;5;6;30;44;-1;-8;17;982.64;23;2;92;"Moderat"
94074;"Valenton";4;3247.9219858156;0;4;16770;10;73;58;60;-2;12;67;736.56;31;16;93;"Crític"
94075;"Villecresnes";8;3248.41176470588;26;1;26070;0;-30;30;40;0;12;0;788.96;21;15;90;"elevat"
94076;"Villejuif";11;4778.91340782123;-2;4;20220;2;11;17;41;-1;0;18;1021.49;19;-4;90;"Moderat"
94077;"Villeneuve-le-Roi";8;3630.40700218818;0;5;21210;5;275;44;46;1;0;17;820.92;35;4;91;"Moderat"
94078;"Villeneuve-Saint-Georges";11;3043.04379562044;7;5;16080;10;44;39;54;-4;6;0;735.38;11;6;91;"Crític"
94079;"Villiers-sur-Marne";8;3874.05735660848;0;6;22350;-2;11;32;47;-1;-18;8;761.87;19;1;93;"Moderat"
94080;"Vincennes";14;8244.11174458381;0;8;33270;6;-3;9;21;-1;-10;10;943.29;12;0;88;"Baix"
94081;"Vitry-sur-Seine";11;4114.94700984103;3;5;18710;4;15;35;55;0;-6;0;928.55;24;5;92;"Crític"
