"Ouvrez ce fichier avec Excel en choisissant le format UNICODE UTF-8.";"";"";"";"";"";"";"";"";""
"Niveau de loyers";"";"";"";"";"";"";"";"";""
"Source : Observatoire des loyers de l'agglomération Parisienne / 2019 / nombre de logements: recensement, INSEE";"";"";"";"";"";"";"";"";""
"Heure et date de l'exportation des données : dimanche 28 novembre 2021 à 16:39";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"Ensemble des loyers du parc privé";"";"";"";"";"";"";"";"";""
"Type de loyer : ";"";"";"";"";"";"";"";"";""
"Type d'habitat : Ensemble des logements";"";"";"";"";"";"";"";"";""
"Nombre de pièces  : Toutes";"";"";"";"";"";"";"";"";""
"Période de construction :  Toutes";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"Zone de calcul";"Loyer médian 1er quartile";"Loyer médian";"Loyer médian 3e quartile";"Loyer mensuel 1er quartile";"Loyer mensuel";"Loyer mensuel 3e quartile";"Méthodologie";"nbr observations";"nbr logements"
"Paris-zone 1";"25,2";"29";"32,4";"";"";"";"Estimation directe";"2141";""
"Paris-zone 2";"24,9";"28,2";"32,2";"";"";"";"Estimation directe";"2622";""
"Paris-zone 3";"22,9";"25,6";"29";"";"";"";"Estimation directe";"3818";""
"Paris-zone 4";"24,3";"27,4";"31,3";"";"";"";"Estimation directe";"3028";""
"Paris-zone 5";"20,1";"24,3";"28,4";"";"";"";"Estimation directe";"4232";""
"Paris-zone 6";"22,5";"25,9";"29,1";"";"";"";"Estimation directe";"3379";""
"Paris-zone 7";"21,4";"24,1";"27,2";"";"";"";"Estimation directe";"6823";""
"Paris-zone 8";"20,8";"23,4";"26,6";"";"";"";"Estimation directe";"2090";""
"Paris-zone 9";"20,2";"23,1";"26,2";"";"";"";"Estimation directe";"4088";""
"Paris-zone 10";"21,3";"24,3";"27,6";"";"";"";"Estimation directe";"3783";""
"Paris-zone 11";"20,5";"23,9";"27,6";"";"";"";"Estimation directe";"5496";""
"Paris-zone 12";"20,5";"24,2";"27,6";"";"";"";"Estimation directe";"1494";""
"Paris-zone 13";"15,8";"20,5";"23,9";"";"";"";"Estimation directe";"8183";""
"Paris-zone 14";"17,7";"21,8";"24,9";"";"";"";"Estimation directe";"3434";""
